Rank_In_Year	Released	Release_Year	Title	TheatricalDistributor	Genre	Full_Genre	ProductionMethod	CreativeType	MaximumTheaters	ProductionBudgetM	OpeningWkendRevenueM	DomBoxOfficeM	InflAdjDomBoxOfficeM	InternationalBoxOfficeM	WorldwideBoxOfficeM	MPAA_Rating	Runtime_h	IMDB_Rating	RottenTomatoes_Rating
73	3/19/21	2021	Ironbark	Roadside Attractions	Thriller/Suspense	Thriller/Suspense	Live Action	Dramatization	1641	0	1.89	6.61	7.35	14.24	20.85				
74	12/10/21	2021	A Journal for Jordan	Sony Pictures	Drama	Drama	Live Action	Dramatization	2500	25	0	6.55	7.18	0.14	6.68	PG-13	2.183	6	39
75	2/12/21	2021	Judas and the Black Messiah	Warner Bros.	Drama	Drama	Live Action	Dramatization	1906	26	2.03	5.48	6.09	2	7.48	R	2.1	7.4	96
76	7/16/21	2021	Roadrunner: A Film About Anthony Bourdain	Focus Features	Other	Documentary	Live Action	Factual	954	0	1.99	5.35	5.96	0.13	5.49	R	1.983	7.7	91
77	9/17/21	2021	CopShop	Open Road	Action	Action	Live Action	Contemporary Fiction	3005	0	2.32	5.21	5.8	1.2	6.41	R	1.783	6.2	83
78	6/30/21	2021	Zola	A24	Comedy	Black Comedy	Live Action	Dramatization	1468	5	1.2	4.84	5.39	0.33	5.17				
79	4/30/21	2021	Separation	Open Road	Horror	Horror	Live Action	Contemporary Fiction	1911	0	1.8	4.51	5.01	0	4.51	R	1.783	4.7	7
80	3/5/21	2021	Boogie	Focus Features	Drama	Drama	Live Action	Contemporary Fiction	1272	0	1.2	4.18	4.65	0.01	4.19	R	1.5	5.2	41
81	8/20/21	2021	Reminiscence	Warner Bros.	Thriller/Suspense	Thriller/Suspense	Live Action	Science Fiction	3265	67.97	1.95	3.9	4.34	12.5	16.4	PG-13	1.933	5.9	37
82	1/29/21	2021	Nomadland	Searchlight Pictures	Drama	Drama	Live Action	Contemporary Fiction	1200	5	0	3.7	3.7	35.03	38.73				
83	6/11/21	2021	12 Mighty Orphans	Sony Pictures Classics	Drama	Drama	Live Action	Dramatization	1047	0	0.25	3.69	4.1	1.91	5.6	PG-13	1.967	6.9	62
84	7/16/21	2021	Pig	Neon	Drama	Drama	Live Action	Contemporary Fiction	588	0	0.97	3.19	3.54	1.45	4.64	R	1.533	6.9	97
85	4/2/21	2021	The Girl Who Believes In Miracles	Atlas Distribution	Drama	Drama	Live Action	Contemporary Fiction	1012	0	0.55	3.16	3.52	0.08	3.24	PG	1.667	6	40
86	4/9/21	2021	Voyagers	Lionsgate	Thriller/Suspense	Thriller/Suspense	Live Action	Science Fiction	1996	29	1.38	3.15	3.5	0.98	4.13	PG-13	1.8	5.5	25
87	5/21/21	2021	Dream Horse	Bleecker Street	Drama	Drama	Live Action	Dramatization	1284	0	0.79	2.91	3.24	3.62	6.53				
88	6/11/21	2021	The House Next Door: Meet the Blacks 2	HEFG Releasing	Comedy	Comedy	Live Action	Contemporary Fiction	539	3.5	1.01	2.89	3.22	0	2.89	R	1.617	4.1	17
89	5/7/21	2021	Here Today	Sony Pictures	Comedy	Comedy	Live Action	Contemporary Fiction	1230	0	1.04	2.81	3.12	0.1	2.91	PG-13	1.95	6.7	46
90	5/14/21	2021	Finding You	Roadside Attractions	Drama	Drama	Live Action	Contemporary Fiction	1447	0	0.92	2.75	3.06	0.57	3.33	Not Rated			
91	10/8/21	2021	Lamb	A24	Horror	Horror	Live Action	Contemporary Fiction	865	0	1	2.68	2.98	1.39	4.06	R	1.767	6.3	86
92	9/10/21	2021	The Card Counter	Focus Features	Thriller/Suspense	Thriller/Suspense	Live Action	Contemporary Fiction	739	0	1.04	2.66	2.95	1.7	4.36	R	1.85	6.2	
93	2/12/21	2021	Land	Focus Features	Drama	Drama	Live Action	Contemporary Fiction	1349	0	0.9	2.58	2.87	0.59	3.17	PG-13	1.483	6.7	69
94	9/17/21	2021	The Eyes of Tammy Faye	Searchlight Pictures	Drama	Drama	Live Action	Dramatization	1352	0	0.65	2.4	2.67	0.3	2.71	PG-13	2.1	6.6	67
95	11/24/21	2021	Drive My Car	Janus Films	Drama	Drama	Live Action	Contemporary Fiction	213	0	0.01	2.35	2.54	12.99	15.34	Unrated	2.983	7.5	97
96	7/2/21	2021	"Summer of Soul (Or, When the Revolution Could Not Be Televised)"	Searchlight Pictures	Other	Documentary	Live Action	Factual	752	0	0.65	2.32	2.58	0.64	2.97				
97	12/24/21	2021	Madres paralelas	Sony Pictures Classics	Drama	Drama	Live Action	Contemporary Fiction	684	0	0.04	2.3	2.47	8.9	11.2				
98	9/10/21	2021	After We Fell	Vertical Entertainment	Drama	Drama	Live Action	Contemporary Fiction	1294	0	0.43	2.17	2.41	17.34	19.51	R	1.633	4.8	8
99	3/12/21	2021	The Father	Sony Pictures Classics	Drama	Drama	Live Action	Contemporary Fiction	933	6	0.43	2.12	2.36	34.31	36.43				
100	11/19/21	2021	C'mon C'mon	A24	Drama	Drama	Live Action	Contemporary Fiction	569	8.3	0.13	2.01	2.23	1.29	3.3	R	1.817	7.3	
1	5/27/22	2022	Top Gun: Maverick	Paramount Pictures	Action	Action	Live Action	Contemporary Fiction	4751	177	126.71	718.73	771.97	733.43	1452.16	PG-13	2.167	8.2	96
2	12/16/22	2022	Avatar: The Way of Water	20th Century Studios	Action	Action	Animation/Live Action	Science Fiction	4340	400	134.1	688.81	727.74	1634.09	2322.9	PG-13	3.2	7.5	76
3	11/11/22	2022	Black Panther: Wakanda Forever	Walt Disney	Action	Action	Animation/Live Action	Super Hero	4396	250	181.34	453.83	486.75	405.38	859.21	PG-13	2.683	6.6	84
4	5/6/22	2022	Doctor Strange in the Multiverse of Madness	Walt Disney	Action	Action	Animation/Live Action	Super Hero	4534	200	187.42	411.33	441.8	540.89	952.22	PG-13	2.1	6.9	73
5	6/10/22	2022	Jurassic World: Dominion	Universal	Action	Action	Animation/Live Action	Science Fiction	4697	185	145.08	376.85	404.77	627.15	1004	PG-13	2.45	5.6	29
6	7/1/22	2022	Minions: The Rise of Gru	Universal	Adventure	Adventure	Digital Animation	Kids Fiction	4427	100	107.01	370.55	397.95	567.16	937.71	PG	1.45	6.5	69
7	3/1/22	2022	The Batman	Warner Bros.	Action	Action	Live Action	Super Hero	4417	200	134.01	369.61	396.97	402.9	772.51	PG-13	2.933	7.8	85
8	7/8/22	2022	Thor: Love and Thunder	Walt Disney	Action	Action	Animation/Live Action	Super Hero	4375	250	144.17	343.26	368.68	417.67	760.93	PG-13	1.967	6.1	63
9	4/8/22	2022	Sonic the Hedgehog 2	Paramount Pictures	Adventure	Adventure	Animation/Live Action	Kids Fiction	4258	90	72.11	190.87	205.01	212.95	403.82	PG	2.033	6.5	69
10	12/21/22	2022	Puss in Boots: The Last Wish	Universal	Adventure	Adventure	Digital Animation	Kids Fiction	4121	110	12.43	186.09	194.62	298.24	484.33	PG	1.7	7.8	
11	10/21/22	2022	Black Adam	Warner Bros.	Action	Action	Live Action	Super Hero	4402	200	67	168.28	180.64	225.3	393.58	PG-13	2.083	6.1	39
12	6/24/22	2022	Elvis	Warner Bros.	Drama	Drama	Live Action	Dramatization	3932	85	31.21	151.42	162.62	136.7	288.12	PG-13	2.65	7.3	77
13	2/18/22	2022	Uncharted	Sony Pictures	Adventure	Adventure	Live Action	Contemporary Fiction	4275	120	44.01	148.65	159.66	258.49	407.14	PG-13	1.933	6.3	
14	7/22/22	2022	Nope	Universal	Horror	Horror	Live Action	Science Fiction	3807	68	44.37	123.28	132.41	48.66	171.93	R	2.167	6.8	83
15	6/17/22	2022	Lightyear	Walt Disney	Adventure	Adventure	Digital Animation	Kids Fiction	4255	200	50.58	118.31	127.07	100.57	218.88	PG	1.75	6.1	74
16	9/30/22	2022	Smile	Paramount Pictures	Horror	Horror	Live Action	Contemporary Fiction	3659	17	22.61	105.94	113.78	111.1	217.04	R	1.917	6.5	80
17	3/25/22	2022	The Lost City	Paramount Pictures	Adventure	Adventure	Live Action	Contemporary Fiction	4283	74	30.45	105.34	113.15	86.24	191.59	PG-13	1.867	6.1	78
18	8/5/22	2022	Bullet Train	Sony Pictures	Thriller/Suspense	Thriller/Suspense	Live Action	Contemporary Fiction	4357	85.9	30.03	103.37	111.03	135.17	238.53	R	2.117	7.3	52
19	4/22/22	2022	The Bad Guys	Universal	Comedy	Comedy	Digital Animation	Kids Fiction	4042	70	23.95	97.79	105	153.37	251.16	PG	1.667	6.9	87
20	4/15/22	2022	Fantastic Beasts: The Secrets of Dumbledore	Warner Bros.	Adventure	Adventure	Animation/Live Action	Fantasy	4245	200	42.15	95.85	102.95	311.3	407.15	PG-13	2.367	6.2	46
21	7/29/22	2022	DC League of Super Pets	Warner Bros.	Adventure	Adventure	Digital Animation	Kids Fiction	4332	90	23	93.66	100.59	113.9	207.56				
22	7/15/22	2022	Where the Crawdads Sing	Sony Pictures	Drama	Drama	Live Action	Contemporary Fiction	3650	24	17.25	90.23	96.91	54.12	144.35	PG-13	2.083	7.2	34
23	6/24/22	2022	The Black Phone	Universal	Horror	Horror	Live Action	Contemporary Fiction	3156	18	23.63	90.12	96.8	71.32	161.44				
24	1/14/22	2022	Scream	Paramount Pictures	Horror	Horror	Live Action	Contemporary Fiction	3666	24	30.02	81.64	87.69	57.23	138.87	R	1.9	6.3	76
25	3/25/22	2022	Everything Everywhere All At Once	A24	Action	Action	Live Action	Science Fiction	2220	25	0.5	77.17	82.6	67.82	144.99	R	2.317	7.7	93
26	4/1/22	2022	Morbius	Sony Pictures	Action	Action	Live Action	Super Hero	4268	75	39.01	73.87	79.34	88.89	162.76	PG-13	1.733	5.1	15
27	10/21/22	2022	Ticket to Paradise	Universal	Comedy	Romantic Comedy	Live Action	Contemporary Fiction	4066	60	16.51	68.28	73.33	100.3	168.58	PG-13	1.733	6.1	56
28	9/16/22	2022	The Woman King	Sony Pictures	Action	Action	Live Action	Dramatization	3765	50	19.05	67.33	72.31	26.94	94.27	PG-13	2.25	6.9	94
29	10/14/22	2022	Halloween Ends	Universal	Horror	Horror	Live Action	Contemporary Fiction	3901	20	40.05	64.08	68.83	41.32	105.4	R	1.85	5	40
30	2/18/22	2022	Dog	United Artists	Drama	Drama	Live Action	Contemporary Fiction	3827	15	14.88	61.78	66.35	22.77	84.54	PG-13	1.683	6.5	77
31	2/4/22	2022	jackass forever	Paramount Pictures	Other	Reality	Live Action	Factual	3653	10	23.15	57.74	62.02	17.05	74.79	R	1.6	6.8	86
32	12/2/22	2022	Violent Night	Universal	Comedy	Comedy	Live Action	Contemporary Fiction	3723	20	13.45	50.06	53.63	26.54	76.6	R	1.867	6.7	74
33	10/7/22	2022	"Lyle, Lyle, Crocodile"	Sony Pictures	Other	Musical	Animation/Live Action	Kids Fiction	4350	50	11.4	46.89	50.35	60.3	107.19	PG	1.767	6.1	72
34	2/11/22	2022	Death on the Nile	20th Century Studios	Drama	Drama	Live Action	Historical Fiction	3420	90	12.89	45.63	49.01	84.67	130.3	PG-13	2.117	6.3	62
35	9/23/22	2022	"Don't Worry, Darling"	Warner Bros.	Thriller/Suspense	Thriller/Suspense	Live Action	Historical Fiction	4121	35	19.35	45.31	48.67	42.3	87.61	R	2.05	6.3	38
36	5/20/22	2022	Downton Abbey: A New Era	Focus Features	Drama	Drama	Live Action	Historical Fiction	3830	0	16	44.14	47.41	48.56	92.7	PG	2.067	7.4	87
37	9/9/22	2022	Barbarian	20th Century Studios	Horror	Horror	Live Action	Contemporary Fiction	2890	4.5	10.54	40.84	43.87	4.47	45.31	R	1.7	7	92
38	11/23/22	2022	Strange World	Walt Disney	Adventure	Adventure	Digital Animation	Kids Fiction	4174	180	12.15	39.09	40.74	35.65	74.74	PG	1.7	5.7	72
39	11/18/22	2022	The Menu	Searchlight Pictures	Comedy	Black Comedy	Live Action	Contemporary Fiction	3228	30	9	38.5	41.24	41.13	79.63	R	1.783	7.2	88
40	4/22/22	2022	The Northman	Focus Features	Action	Action	Live Action	Historical Fiction	3284	0	12.29	34.23	36.77	35.75	69.98	R	2.283	7	90
41	3/18/22	2022	Jujutsu Kaisen 0	FUNimation	Action	Action	Digital Animation	Fantasy	2418	0	18	33.92	36.43	149.84	183.76				
42	8/19/22	2022	Dragon Ball Super: Super Hero	Crunchyroll	Action	Action	Digital Animation	Science Fiction	3018	0	21.12	32.13	34.51	65.11	97.24	PG-13	1.667	7.1	95
43	5/27/22	2022	The Bob's Burgers Movie	20th Century Studios	Comedy	Comedy	Digital Animation	Contemporary Fiction	3425	0	12.42	31.93	34.3	2.14	34.07	PG-13	1.7	7	87
44	8/19/22	2022	Beast	Universal	Thriller/Suspense	Thriller/Suspense	Live Action	Contemporary Fiction	3754	36	11.58	31.85	34.21	27.32	59.17	R	1.55	5.6	68
45	8/26/22	2022	The Invitation	Sony Pictures	Horror	Horror	Live Action	Contemporary Fiction	3117	10	6.81	25.1	26.96	8.59	33.69	PG-13	1.75	5.3	32
46	12/23/22	2022	Whitney Houston: I Wanna Dance With Somebody	Sony Pictures	Drama	Drama	Live Action	Dramatization	3625	45	4.7	23.71	25.04	35.68	59.39	PG-13	2.4	6.6	43
47	4/8/22	2022	Ambulance	Universal	Thriller/Suspense	Thriller/Suspense	Live Action	Contemporary Fiction	3412	40	8.7	22.78	24.47	29.4	52.18	R	2.267	6.1	68
48	2/11/22	2022	Marry Me	Universal	Comedy	Romantic Comedy	Live Action	Contemporary Fiction	3643	23	7.95	22.44	24.1	26.34	48.77	PG-13	1.867	6.1	61
49	4/13/22	2022	Father Stu	Sony Pictures	Drama	Drama	Live Action	Dramatization	2705	4	5.4	21.1	22.66	0.89	21.99	PG-13	2.067	6.5	42
50	11/23/22	2022	Devotion	Sony Pictures	Action	Action	Live Action	Dramatization	3458	90	5.9	20.51	22	0.95	21.46	PG-13	2.317	6.6	81
51	4/22/22	2022	The Unbearable Weight of Massive Talent	Lionsgate	Action	Action	Live Action	Contemporary Fiction	3036	30	7.13	20.3	21.8	8.82	29.12	R	1.783	7	87
52	10/28/22	2022	Prey for the Devil	Lionsgate	Horror	Horror	Live Action	Contemporary Fiction	2980	0	7.19	19.8	21.27	24.21	44.01	PG-13	1.55	5.3	15
53	2/4/22	2022	Moonfall	Lionsgate	Action	Action	Live Action	Science Fiction	3446	150	9.87	19.06	20.47	39.99	59.05	PG-13	2.167	5.2	35
54	7/15/22	2022	Paws of Fury: The Legend of Hank	Paramount Pictures	Adventure	Adventure	Digital Animation	Kids Fiction	3481	45	6.32	17.81	19.13	22.35	40.17	PG	1.633	5.8	56
55	12/21/22	2022	The Whale	A24	Drama	Drama	Live Action	Contemporary Fiction	1721	3	1.04	17.45	18.26	36.59	54.04	R	1.95	7.6	64
56	11/11/22	2022	The Fabelmans	Universal	Drama	Drama	Live Action	Dramatization	1962	40	0.16	17.35	18.41	25.92	43.27	PG-13	2.517	7.5	92
57	12/23/22	2022	Babylon	Paramount Pictures	Drama	Drama	Live Action	Historical Fiction	3351	80	3.6	16.6	16.55	47.73	64.33	R	3.15	7.1	57
58	11/23/22	2022	Glass Onion: A Knives Out Mystery	Netflix	Drama	Drama	Live Action	Contemporary Fiction	696	0	9.2	15	16.11	0	15				91
59	10/7/22	2022	Amsterdam	20th Century Studios	Comedy	Comedy	Live Action	Historical Fiction	3005	80	6.44	14.95	16.06	14.45	29.4	R	2.233	6.1	31
60	11/18/22	2022	The Chosen Season 3: Episodes 1 & 2	Fathom Events	Drama	Drama	Live Action	Dramatization	2042	0	8.77	14.61	15.69	0.07	14.68				
61	1/7/22	2022	The 355	Universal	Thriller/Suspense	Thriller/Suspense	Live Action	Contemporary Fiction	3145	75	4.62	14.57	15.65	4.33	18.9	PG-13	2.033	5.6	24
62	3/24/22	2022	RRR	Sarigama Cinemas	Action	Action	Live Action	Historical Fiction	1200	0	9.5	14.47	15.52	136.04	150.51	TV-MA	3.117	7.8	96
63	8/5/22	2022	Easter Sunday	Universal	Comedy	Comedy	Live Action	Contemporary Fiction	3176	17	5.45	13.01	13.98	0.01	13.02	PG-13	1.6	5.3	40
64	11/4/22	2022	One Piece Film: Red	Crunchyroll	Action	Action	Digital Animation	Contemporary Fiction	2367	0	9.34	12.77	13.71	188.62	201.39	PG-13	1.917	6.7	97
65	3/18/22	2022	X	A24	Horror	Horror	Live Action	Historical Fiction	2920	1	4.28	11.77	12.64	3.34	15.11	R	1.75	6.5	94
66	9/30/22	2022	Bros	Universal	Comedy	Romantic Comedy	Live Action	Contemporary Fiction	3356	22	4.85	11.63	12.49	3.2	14.83	R	1.917	6.4	88
67	8/5/22	2022	Bodies Bodies Bodies	A24	Horror	Horror	Live Action	Contemporary Fiction	2541	0	0.23	11.45	0.8	2.58	14.03	R	1.567	6.2	86
68	10/6/22	2022	Terrifier 2	Iconic/Cineverse	Horror	Horror	Live Action	Contemporary Fiction	1550	0.25	0.8	10.96	11.76	4.72	15.69	Unrated	2.3	6	87
69	10/21/22	2022	The Banshees of Inisherin	Searchlight Pictures	Drama	Drama	Live Action	Contemporary Fiction	1205	20	0.18	10.58	11.3	41.76	52.34	R	1.9	7.7	96
70	7/15/22	2022	Mrs. Harris Goes to Paris	Focus Features	Drama	Drama	Live Action	Historical Fiction	1001	13	1.95	10.43	11.21	20.84	31.27	PG	1.917	7.1	94
71	5/13/22	2022	Firestarter	Universal	Horror	Horror	Live Action	Contemporary Fiction	3413	12	3.83	9.74	10.46	5.29	15.03	R	1.567	4.6	10
72	2/11/22	2022	Blacklight	Briarcliff Entertainment	Action	Action	Live Action	Contemporary Fiction	2772	29	3.5	9.59	10.3	6.43	16.02	PG-13	1.733	4.9	12
73	9/16/22	2022	See How They Run	Searchlight Pictures	Comedy	Comedy	Live Action	Historical Fiction	2502	0	3.01	9.59	10.3	11.27	20.85	PG-13	1.633	6.5	75
74	9/16/22	2022	Pearl	A24	Horror	Horror	Live Action	Historical Fiction	2982	0	3.13	9.42	10.12	0.72	10.14	R	1.717	7	93
75	1/21/22	2022	Redeeming Love	Universal	Drama	Drama	Live Action	Historical Fiction	1963	0	3.53	9.21	9.9	0.05	9.26	PG-13	2.233	6.7	11
76	10/14/22	2022	Till	United Artists	Drama	Drama	Live Action	Dramatization	2136	0	0.24	9	9.67	2.45	11.45	PG-13	2.167	7.2	96
77	8/26/22	2022	Three Thousand Years of Longing	United Artists	Drama	Drama	Live Action	Fantasy	2436	60	2.92	8.29	8.9	12.96	21.25	R	1.8	6.7	71
78	9/9/22	2022	Brahmastra Part 1: Shiva	Fox Star India	Adventure	Adventure	Live Action	Super Hero	810	0	4.54	7.84	8.42	40.86	48.7				
79	11/18/22	2022	Bones and All	United Artists	Thriller/Suspense	Thriller/Suspense	Live Action	Historical Fiction	2727	0	0.12	7.84	8.42	7.4	15.24	R	2.183	6.8	82
80	5/20/22	2022	Men	A24	Horror	Horror	Live Action	Contemporary Fiction	2212	6.5	3.29	7.59	8.15	4.37	11.96	R	1.667	6	69
81	4/29/22	2022	Memory	Open Road	Action	Action	Live Action	Contemporary Fiction	2555	0	3.11	7.33	7.87	5.14	12.47	R	1.9	5.7	29
82	8/12/22	2022	Fall	Lionsgate	Thriller/Suspense	Thriller/Suspense	Live Action	Contemporary Fiction	1548	0	2.51	7.24	7.78	14.53	21.77	PG-13	1.783	6.4	79
83	3/12/22	2022	BTS Permission to Dance on Stage Seoul	Trafalgar Releasing	Other	Concert/Performance	Live Action	Factual	803	0	6.84	6.84	7.35	25.76	32.6	TV-14	3.25	8	
84	10/7/22	2022	Tar	Focus Features	Drama	Drama	Live Action	Contemporary Fiction	1090	0	0.16	6.77	7.23	22.49	29.27				
85	4/14/22	2022	K.G.F: Chapter 2	Viva Entertainment	Action	Action	Live Action	Fantasy	510	0	2.93	6.6	7.09	153.28	159.89	Not Rated	2.767	8.2	50
86	12/31/22	2022	Operation Fortune: Ruse de guerre	STX Entertainment	Action	Action	Live Action	Contemporary Fiction	2168	50	0	6.5	6.72	21.34	27.84				
87	6/24/22	2022	Marcel the Shell with Shoes On	A24	Comedy	Comedy	Stop-Motion Animation	Contemporary Fiction	821	6	0.16	6.33	6.8	0.77	7.1				
88	11/18/22	2022	She Said	Universal	Drama	Drama	Live Action	Dramatization	2023	0	2.22	5.83	6.26	8.13	13.96	R	2.15	7.3	88
89	12/1/22	2022	I Heard the Bells	Fathom Events	Drama	Drama	Live Action	Dramatization	1204	3	2.02	5.64	6.06	0.04	5.68	PG	1.833	6.6	
90	12/23/22	2022	Women Talking	United Artists	Drama	Drama	Live Action	Historical Fiction	707	0	0.04	5.46	5.65	3.72	9.18	PG-13	1.733	6.9	90
91	8/19/22	2022	Orphan: First Kill	Paramount Pictures	Horror	Horror	Live Action	Contemporary Fiction	557	0	1.74	5.41	5.81	40.17	45.59	R	1.65	5.9	69
92	9/9/22	2022	Lifemark	Fathom Events	Drama	Drama	Live Action	Contemporary Fiction	1605	0	2.19	5.01	5.38	0.42	5.42	PG-13	1.75	6.1	83
93	9/30/22	2022	Ponniyin Selvan: Part One	Sarigama Cinemas	Action	Action	Live Action	Historical Fiction	500	0	4.02	4.92	5.28	2.5	7.42				
94	9/13/22	2022	Clerks III	Lionsgate	Comedy	Comedy	Live Action	Contemporary Fiction	1089	0	0.67	4.66	5.01	0.07	4.74	R	1.667	6.2	63
95	10/7/22	2022	Triangle of Sadness	Neon	Comedy	Black Comedy	Live Action	Contemporary Fiction	610	15.6	0.21	4.61	4.93	28.28	32.89	R	2.45	7.2	72
96	2/18/22	2022	The Cursed	LD Entertainment	Horror	Horror	Live Action	Historical Fiction	1695	0	1.78	4.59	4.93	0	4.59		0.067		
97	7/29/22	2022	Vengeance	Focus Features	Comedy	Black Comedy	Live Action	Contemporary Fiction	1003	0	1.76	4.33	4.65	0.1	4.43	R	1.783	6.8	82
98	9/16/22	2022	Moonage Daydream	Neon	Other	Documentary	Live Action	Factual	733	0	1.23	4.27	4.58	9.64	13.91	PG-13	2.25	7.6	92
99	1/14/22	2022	Belle	GKIDS	Adventure	Adventure	Digital Animation	Science Fiction	1338	0	1.57	4.02	4.32	59.32	63.33		1.6	6.6	
100	5/13/22	2022	Family Camp	Roadside Attractions	Comedy	Comedy	Live Action	Contemporary Fiction	1057	0	1.4	3.97	4.27	0	3.97	PG	1.85	4.9	40
1	7/21/23	2023	Barbie	Warner Bros.	Comedy	Comedy	Live Action	Contemporary Fiction	4337	145	162.02	636.79	658.3	810.9	1447.69	PG-13	1.9	6.8	88
2	4/5/23	2023	The Super Mario Bros. Movie	Universal	Adventure	Adventure	Digital Animation	Kids Fiction	4371	100	146.36	574.93	594.38	784.29	1359.23	PG	1.533	7	59
3	6/2/23	2023	Spider-Man: Across the Spider-Verse	Sony Pictures	Adventure	Adventure	Digital Animation	Super Hero	4332	100	120.66	381.59	394.49	309.23	690.82	PG	2.333	8.5	95
4	5/5/23	2023	Guardians of the Galaxy Vol 3	Walt Disney	Action	Action	Animation/Live Action	Super Hero	4450	250	118.41	359	371.14	486.56	845.56	PG-13	2.5	7.9	82
5	7/21/23	2023	Oppenheimer	Universal	Drama	Drama	Live Action	Dramatization	3761	100	82.46	330.08	341.11	646.68	976.76	R	3	8.3	93
6	5/26/23	2023	The Little Mermaid	Walt Disney	Other	Musical	Animation/Live Action	Kids Fiction	4320	250	95.58	298.17	308.26	271.45	569.63	PG	2.25	7.2	67
7	12/15/23	2023	Wonka	Warner Bros.	Other	Musical	Live Action	Kids Fiction	4213	125	39.01	218.58	223.08	416.1	634.68	PG	1.933	6.9	82
8	2/17/23	2023	Ant-Man and the Wasp: Quantumania	Walt Disney	Action	Action	Animation/Live Action	Super Hero	4345	200	106.11	214.5	221.76	261.57	476.07	PG-13	2.067	6	46
9	3/24/23	2023	John Wick: Chapter 4	Lionsgate	Action	Action	Live Action	Contemporary Fiction	3855	100	73.82	187.13	193.46	260.18	447.32	R	2.817	7.6	94
10	7/4/23	2023	Sound of Freedom	Angel Studios	Thriller/Suspense	Thriller/Suspense	Live Action	Dramatization	3411	14.5	19.68	184.18	190.41	66.55	250.73	PG-13	2.183	7.6	58
11	10/13/23	2023	TAYLOR SWIFT | THE ERAS TOUR	AMC Theatres Distribution	Other	Concert/Performance	Live Action	Factual	3855	15	93.22	180.76	186.87	80.65	261.41	PG-13	2.817	8	
12	6/30/23	2023	Indiana Jones and the Dial of Destiny	Walt Disney	Adventure	Adventure	Live Action	Historical Fiction	4600	300	60.37	174.48	180.38	209.48	383.96	PG-13	2.567	6.5	71
13	7/12/23	2023	Mission: Impossible Dead Reckoning Part 1	Paramount Pictures	Action	Action	Live Action	Contemporary Fiction	4327	290	54.69	172.64	178.48	392.75	565.39				
14	11/17/23	2023	The Hunger Games: The Ballad of Songbirds & Snakes	Lionsgate	Action	Action	Live Action	Science Fiction	3776	100	44.61	166.35	171.75	181.51	347.86	PG-13	2.617	6.6	64
15	6/9/23	2023	Transformers: Rise of the Beasts	Paramount Pictures	Action	Action	Animation/Live Action	Science Fiction	3680	195	61.05	157.34	162.66	281.9	439.24	PG-13	2.117	6	51
16	3/3/23	2023	Creed III	MGM	Drama	Drama	Live Action	Contemporary Fiction	4007	75	58.37	156.25	161.53	119.9	276.15	PG-13	1.933	6.7	89
17	6/16/23	2023	Elemental	Walt Disney	Adventure	Adventure	Digital Animation	Kids Fiction	4080	200	29.6	154.43	159.65	330.4	484.83	PG	1.683	7	73
18	5/19/23	2023	Fast X	Universal	Action	Action	Live Action	Contemporary Fiction	4088	340	67.02	146.13	151.07	568.25	714.38	PG-13	2.35	5.7	56
19	10/27/23	2023	Five Nights at Freddy's	Universal	Horror	Horror	Live Action	Contemporary Fiction	3789	20	80	137.28	141.92	159.97	297.24	PG-13	1.817	5.4	33
20	12/22/23	2023	Migration	Universal	Adventure	Adventure	Digital Animation	Kids Fiction	3839	72	12.45	127.63	129.46	172.87	300.5	PG	1.383	6.6	73
21	12/22/23	2023	Aquaman and the Lost Kingdom	Warner Bros.	Action	Action	Live Action	Super Hero	3787	205	27.69	124.48	127.07	315.7	440.18	PG-13	2.067	5.6	33
22	8/2/23	2023	Teenage Mutant Ninja Turtles: Mutant Mayhem	Paramount Pictures	Action	Action	Digital Animation	Super Hero	3950	70	28.01	118.7	122.71	61.63	180.33	PG	1.65	7.2	95
23	3/10/23	2023	Scream VI	Paramount Pictures	Horror	Horror	Live Action	Contemporary Fiction	3676	33	44.45	108.39	112.06	60.67	169.06	R	2.033	6.4	77
24	6/16/23	2023	The Flash	Warner Bros.	Action	Action	Live Action	Super Hero	4256	200	55.04	108.17	111.83	163.3	271.47	PG-13	2.4	6.6	63
25	11/17/23	2023	Trolls Band Together	Universal	Adventure	Adventure	Digital Animation	Kids Fiction	3893	95	30	103.97	101.82	106.69	210.67	PG	1.517	6	64
26	1/6/23	2023	M3GAN	Universal	Horror	Horror	Live Action	Science Fiction	3628	12	30.43	95.16	98.38	86.64	181.8		0.017		
27	3/31/23	2023	Dungeons & Dragons: Honor Among Thieves	Paramount Pictures	Adventure	Adventure	Live Action	Fantasy	3856	150	37.21	93.55	96.71	114.31	207.85	PG-13	2.233	7.2	
28	9/1/23	2023	The Equalizer 3	Sony Pictures	Action	Action	Live Action	Contemporary Fiction	3965	70	34.6	92.37	95.5	98.69	191.07	R	1.817	6.8	76
29	12/22/23	2023	Anyone But You	Sony Pictures	Comedy	Romantic Comedy	Live Action	Contemporary Fiction	3055	25	6	88.32	89.16	130.59	218.91	R	1.717	6.1	53
30	9/8/23	2023	The Nun II	Warner Bros.	Horror	Horror	Live Action	Contemporary Fiction	3743	38	32.6	86.27	89.19	183.4	269.67	R	1.833	5.6	51
31	11/10/23	2023	The Marvels	Walt Disney	Adventure	Adventure	Live Action	Super Hero	4030	270	46.11	84.5	87.36	121.64	206.14	PG-13	1.75	5.5	63
