rank	country	HDI	Life expectancy	Schooling expected	School years	GNI/capita	GNI-HDI	HDI rank
104	Fiji	0.729	68.3	13.8	10.4	11234	0	110
105	Egypt	0.728	70.2	12.9	9.8	12361	-8	103
106	Uzbekistan	0.727	71.7	12.0	11.9	8056	16	105
107	Viet Nam	0.726	74.6	13.1	8.5	10814	0	108
108	Saint Lucia	0.725	71.3	12.7	8.6	14778	-21	109
109	Lebanon	0.723	74.4	12.1	8.6	12313	-11	104
110	South Africa	0.717	61.5	14.3	11.6	13186	-18	105
111	Palestine State of	0.716	73.4	13.2	9.9	6936	18	110
112	Indonesia	0.713	68.3	14.0	8.6	12046	-12	113
113	Philippines	0.710	72.2	12.8	9.0	9059	5	118
114	Botswana	0.708	65.9	11.4	10.4	14842	-29	124
115	Jamaica	0.706	70.6	12.5	9.2	9695	-2	114
116	Samoa	0.702	72.6	12.4	11.4	4970	25	112
117	Kyrgyzstan	0.701	70.5	13.0	12.0	4782	28	116
118	Belize	0.700	71.0	12.4	8.8	9242	-3	115
	MEDIUM HUMAN DEVELOPMENT							
119	Venezuela (Bolivarian Republic of)	0.699	71.1	13.5	9.6	6184	14	120
120	Bolivia (Plurinational State of)	0.698	64.9	15.0	9.8	7988	3	119
120	Morocco	0.698	75.0	14.6	6.1	7955	4	122
122	Nauru	0.696	64.0	12.6	9.2	14939	-38	117
123	Gabon	0.693	65.7	12.4	9.6	11194	-18	123
124	Suriname	0.690	70.3	11.0	8.4	12310	-25	121
125	Bhutan	0.681	72.2	13.1	5.8	10625	-15	125
126	Tajikistan	0.679	71.3	10.9	11.3	4807	18	125
127	El Salvador	0.674	71.5	11.9	7.2	8886	-7	127
128	Iraq	0.673	71.3	12.2	6.8	9092	-11	128
129	Bangladesh	0.670	73.7	11.9	7.4	6511	2	130
130	Nicaragua	0.669	74.6	12.6	7.3	5427	4	129
131	Cabo Verde	0.661	74.7	11.5	6.1	7601	-4	132
132	Tuvalu	0.653	64.9	12.1	10.6	4754	15	131
133	Equatorial Guinea	0.650	61.2	12.1	8.3	10663	-24	133
134	India	0.644	67.7	12.6	6.6	6951	-6	135
135	Micronesia (Federated States of)	0.634	70.9	12.6	7.3	3709	18	134
136	Guatemala	0.629	68.7	10.8	5.7	8996	-17	136
137	Kiribati	0.628	67.7	11.8	9.1	3440	21	137
138	Honduras	0.624	70.7	10.0	7.3	5272	2	138
139	Lao People's Democratic Republic	0.620	69.0	10.2	5.9	7745	-13	140
140	Vanuatu	0.614	70.5	11.8	7.2	3244	21	141
141	Sao Tome and Principe	0.613	68.8	12.7	5.9	4054	8	143
142	Eswatini (Kingdom of)	0.610	56.4	14.9	5.7	8392	-21	142
142	Namibia	0.610	58.1	11.8	7.2	9200	-26	139
144	Myanmar	0.608	67.3	12.1	6.5	4038	6	145
145	Ghana	0.602	63.9	11.6	6.4	5380	-10	144
146	Kenya	0.601	62.1	11.4	7.7	4808	-3	147
146	Nepal	0.601	70.5	12.6	4.5	4026	5	149
148	Cambodia	0.600	69.9	11.6	5.2	4291	0	147
149	Congo	0.593	63.1	12.4	8.3	2903	14	146
150	Angola	0.591	61.9	12.2	5.8	5328	-11	150
151	Cameroon	0.587	61.0	13.4	6.5	3681	3	152
152	Comoros	0.586	63.7	13.0	6.2	3261	8	151
153	Zambia	0.569	61.8	11.0	7.3	3157	9	154
154	Papua New Guinea	0.568	66.0	11.1	4.9	3710	-2	155
155	Timor-Leste	0.566	69.1	13.2	6.0	1629	24	153
156	Solomon Islands	0.562	70.7	10.3	5.9	2273	14	155
157	Syrian Arab Republic	0.557	72.3	7.4	5.7	3594	-2	157
158	Haiti	0.552	63.7	11.1	5.6	2802	6	158
159	Uganda	0.550	63.6	11.5	6.2	2241	12	160
159	Zimbabwe	0.550	59.4	11.0	8.8	2079	15	159
	LOW HUMAN DEVELOPMENT							
161	Nigeria	0.548	53.6	10.5	7.6	4755	-15	162
161	Rwanda	0.548	67.1	11.4	4.9	2317	8	163
163	Togo	0.547	61.6	13.0	5.6	2214	9	160
164	Mauritania	0.540	64.7	8.1	4.8	5344	-26	164
164	Pakistan	0.540	66.4	7.9	4.4	5374	-27	165
166	C™te d'Ivoire	0.534	58.9	10.1	4.2	5376	-30	166
167	Tanzania (United Republic of)	0.532	66.8	8.6	5.6	2578	-1	167
168	Lesotho	0.521	53.0	11.1	7.5	2709	-3	168
169	Senegal	0.517	67.9	9.1	2.9	3464	-12	170
170	Sudan	0.516	65.6	8.5	3.9	3515	-14	169
171	Djibouti	0.515	62.9	8.0	3.9	4875	-29	170
172	Malawi	0.508	62.9	11.5	5.2	1432	10	172
173	Benin	0.504	60.0	10.3	3.1	3406	-14	173
174	Gambia	0.495	62.9	9.0	4.5	2090	-1	174
175	Eritrea	0.493	66.6	7.3	5.1	1957	2	174
176	Ethiopia	0.492	65.6	9.9	2.4	2369	-8	176
177	Liberia	0.487	61.1	10.5	5.3	1330	8	177
177	Madagascar	0.487	65.2	9.2	4.6	1464	4	177
179	Guinea-Bissau	0.483	59.9	10.5	3.7	1880	-1	179
180	Congo (Democratic Republic of the)	0.481	59.7	9.6	7.2	1080	9	180
181	Guinea	0.471	59.0	10.2	2.4	2404	-14	182
182	Afghanistan	0.462	62.9	10.7	2.5	1335	2	181
183	Mozambique	0.461	59.6	10.7	3.9	1219	4	183
184	Sierra Leone	0.458	60.4	9.0	3.5	1613	-4	184
185	Burkina Faso	0.438	59.8	8.1	2.3	2037	-9	185
186	Yemen	0.424	63.7	7.9	2.8	1106	2	186
187	Burundi	0.420	62.0	10.0	3.3	712	5	187
188	Mali	0.410	59.4	7.0	1.6	2044	-13	188
189	Chad	0.394	53.0	8.2	2.3	1389	-6	189
189	Niger	0.394	62.1	7.2	1.3	1283	-3	190
191	Central African Republic	0.387	54.5	7.3	4.0	869	0	191
192	South Sudan	0.381	55.6	5.6	5.7	691	1	192
193	Somalia	0.380	56.1	7.6	1.9	1072	-3	NA
