ONET.SOC.2010.Code	OPR.Job.Title	OPR.Field.Title	Prestige1989_GSS	Prestige2012_GSS	Prestige2016_OPR	NumEmployedK	MeanAnnualSal	MedianAnnualSal	Manual	MedSalK
29-2099.06	Radiologic Technologist and/or Technician	Healthcare	58.48	NA	63.16	221.17	75250	73410	0	73.41
29-2035.00	Nuclear Medicine Technologist	Healthcare	64.38	NA	77.85	41.34	86600	83740	0	83.74
29-2099.00	Other - Health Technologist and/or Technician	Healthcare	56.67	5.1	60.35	3.9	131850	132880	0	132.88
29-2041.00	Emergency Medical Technician and/or Paramedic	Healthcare	61.2	6	67.55	167.04	43100	38930	0	38.93
29-2041.00	Emergency Medical Technician and/or Paramedic	Healthcare	61.2	NA	67.55	98.77	57450	53180	0	53.18
29-2051.00	Dietetic Technician	Healthcare	55.61	5.4	48.81	24.24	38440	36520	0	36.52
29-2052.00	Pharmacy Technician	Healthcare	40.85	NA	56.07	460.28	43330	40300	0	40.3
29-2053.00	Psychiatric Technician	Healthcare	40.85	NA	57.95	115.94	43650	39700	0	39.7
29-2055.00	Surgical Technologist	Healthcare	64.38	NA	70.83	110.32	62250	60610	0	60.61
29-2056.00	Veterinary Technologist and/or Technician	Healthcare	56.67	NA	60.91	122	44040	43740	0	43.74
29-2057.00	Ophthalmic Medical Technologist and/or Technician	Healthcare	40.85	NA	61.38	73.39	44290	41780	0	41.78
29-2061.00	Licensed Practical Nurse and/or Licensed Vocational Nurse	Healthcare	59.98	6.5	66.12	630.25	60790	59730	0	59.73
29-2071.00	Medical Records and Health Information Technicians	Healthcare	52.28	4.9	55.17	185.69	53690	48780	0	48.78
29-2081.00	Optician (Dispensing)	Healthcare	64.38	5.8	57.29	76.77	47560	44170	0	44.17
29-2091.00	Orthotist and/or Prosthetist	Healthcare	64.38	NA	70.87	8.82	80500	78100	0	78.1
29-2092.00	Hearing Aid Specialist	Healthcare	64.38	NA	55.41	10.25	61550	58670	0	58.67
29-2054.00	Respiratory Therapy Technician	Healthcare	40.85	NA	63.85	171.11	54220	47470	0	47.47
29-2099.00	Other - Health Technologist and/or Technician	Healthcare	56.67	NA	60.35	171.11	54220	47470	0	47.47
29-2099.05	Ophthalmic Laboratory Technician	MfgProduction	56.67	NA	54.52	171.11	54220	47470	1	47.47
29-2099.01	Electroneurodiagnostic Technologist	Healthcare	64.38	NA	69.88	171.11	54220	47470	0	47.47
29-2071.00	Medical Records and Health Information Technicians	Healthcare	52.28	NA	55.17	34.43	70260	62990	0	62.99
29-9099.00	Other - Health Diagnosing and Treating Practitioner	Healthcare	50.44	5.2	69.97	34.43	70260	62990	0	62.99
29-9091.00	Athletic Trainer	Healthcare	64.38	NA	53.46	28.48	61540	57930	0	57.93
29-9092.00	Genetic Counselor	Healthcare	64.38	NA	68.21	3.05	98130	95770	0	95.77
29-9099.00	Other - Health Diagnosing and Treating Practitioner	Healthcare	50.44	NA	69.97	18.78	65190	59160	0	59.16
29-2099.07	Physician's Assistant	Healthcare	61.2	NA	67.42	18.78	65190	59160	0	59.16
29-9099.00	Other - Health Diagnosing and Treating Practitioner	Healthcare	50.44	NA	69.97	36.9	70800	63630	0	63.63
29-9099.01	Midwife	Healthcare	41.71	NA	54.33	36.9	70800	63630	0	63.63
31-1014.00	Nursing Aid, Orderly and/or Attendant	Healthcare	38.16	NA	50.18	1351.76	39610	38200	0	38.2
31-1015.00	Nursing Aid, Orderly and/or Attendant	Healthcare	38.16	NA	50.18	48.71	38440	36830	0	36.83
31-1013.00	Psychiatric Aide	Healthcare	38.16	NA	49.75	32.31	41000	39160	0	39.16
31-2011.00	Occupational Therapist Assistant	Healthcare	38.16	5.1	56.84	46.09	68170	67010	0	67.01
31-2012.00	Occupational Therapist Aide	Healthcare	38.16	NA	55.37	4.43	42060	36970	0	36.97
31-2021.00	Physical Therapist Assistant	Healthcare	50.86	5.4	54.22	104	65860	64080	0	64.08
31-2022.00	Physical Therapist Aide	Healthcare	38.16	NA	49.07	42.39	34810	33520	0	33.52
31-9011.00	Massage Therapist	Healthcare	64.38	3.87	44.8	92.65	62560	55310	0	55.31
31-9091.00	Dental Assistant	Healthcare	44.56	4.8	47.54	370.69	47350	46540	0	46.54
31-9092.00	Medical Assistant	Healthcare	64.38	5.1	55.25	763.04	43350	42000	0	42
31-9093.00	Medical Equipment Preparer	Healthcare	64.38	NA	53.29	66.79	47410	45280	0	45.28
31-9094.00	Medical Transcriptionist	Healthcare	64.38	4.9	46.58	52.42	39090	37060	0	37.06
31-9095.00	Pharmacy Aide	Healthcare	38.16	4.5	48.43	43.83	38980	36200	0	36.2
31-9096.00	Veterinary Assistant and/or Laboratory Animal Caretaker	Healthcare	64.38	4.5	52.09	115.77	37310	36440	0	36.44
31-9097.00	Medical Assistant	Healthcare	64.38	5.1	55.25	137.08	43130	41810	0	41.81
31-9099.01	Speech-Language Pathology Assistant	Healthcare	38.16	NA	61.51	102.23	47010	44490	0	44.49
31-9099.02	Endoscopy Technician	Healthcare	68.4	5.8	59.45	102.23	47010	44490	0	44.49
31-9099.00	Other - Healthcare Support Worker	Healthcare	50.86	4.9	55.89	102.23	47010	44490	0	44.49
33-1011.00	Supervisor/Manager of Correctional Officers	ProtectiveSvcs	37.64	4.75	49.13	52.28	76840	70530	0	70.53
33-1012.00	Supervisor/Manager of Police and Detectives	ProtectiveSvcs	61.84	6.15	64.84	138.14	106000	101750	0	101.75
33-1021.00	Supervisor/Manager of Fire Fighting and Prevention Workers	ProtectiveSvcs	59.87	6.2	63.78	84.12	90740	86220	0	86.22
33-1021.02	Forest Fire Fighting and Prevention Supervisor	ProtectiveSvcs	59.87	NA	61.38	84.12	90740	86220	0	86.22
33-1021.01	Municipal Fire Fighting and Prevention Supervisor	ProtectiveSvcs	59.87	NA	68.4	84.12	90740	86220	0	86.22
33-1099.00	Other - Supervisor/Manager of Protective Service Workers	ProtectiveSvcs	53.66	4.2	54.35	64.9	59580	54580	0	54.58
33-1099.00	Other - Supervisor/Manager of Protective Service Workers	ProtectiveSvcs	53.66	NA	54.35	19.62	67870	65050	0	65.05
33-2011.00	Fire Fighter	ProtectiveSvcs	52.87	5.7	69.89	315.46	60390	57120	0	57.12
33-2011.01	Municipal Fire Fighter	ProtectiveSvcs	52.87	NA	64.82	315.46	60390	57120	0	57.12
33-2011.02	Forest Fire Fighter	ProtectiveSvcs	52.87	NA	62.55	315.46	60390	57120	0	57.12
33-2021.02	Fire Investigator	ProtectiveSvcs	52.87	NA	63.19	14.2	82510	74160	0	74.16
33-2021.00	Fire Inspector	ProtectiveSvcs	60.42	5.5	62.53	14.2	82510	74160	0	74.16
33-2021.01	Fire Inspector	ProtectiveSvcs	60.42	NA	62.53	14.2	82510	74160	0	74.16
33-2022.00	Forest Fire Inspectors and Prevention Specialists	ProtectiveSvcs	60.42	NA	60.29	2.27	61090	54080	0	54.08
33-3011.00	Bailiff	ProtectiveSvcs	48.32	4.3	44.99	15.9	58460	53040	0	53.04
33-3012.00	Correctional Offices and/or Jailer	ProtectiveSvcs	39.81	NA	38.7	351.42	58810	53300	0	53.3
33-3021.00	Criminal Investigator and/or Special Agent	ProtectiveSvcs	59.99	5.6	67.45	106.73	95930	91100	0	91.1
33-3021.03	Detective	ProtectiveSvcs	59.99	NA	64.51	106.73	95930	91100	0	91.1
33-3021.01	Police Detective	ProtectiveSvcs	59.99	NA	66.03	106.73	95930	91100	0	91.1
33-3021.06	Intelligence Analyst	ProtectiveSvcs	59.99	NA	71.82	106.73	95930	91100	0	91.1
33-3021.02	Police Identification and Records Officer	ProtectiveSvcs	59.99	NA	58.07	106.73	95930	91100	0	91.1
33-3031.00	Fish and Game Warden	ProtectiveSvcs	48.32	4.95	51.93	6.29	61120	60380	0	60.38
33-3041.00	Parking Enforcement Worker	ProtectiveSvcs	37.16	3.3	28.84	7.42	50430	46840	0	46.84
33-3051.01	Police Patrol Officer	ProtectiveSvcs	59.99	NA	61.81	646.31	76550	72280	0	72.28
33-3051.00	Police and Sheriff's Patrol Officer	ProtectiveSvcs	59.99	5.76	60.8	646.31	76550	72280	0	72.28
33-3051.03	Sheriff and/or Deputy Sheriff	ProtectiveSvcs	48.32	NA	65.12	646.31	76550	72280	0	72.28
33-3021.05	Immigration and/or Customs Inspector	ProtectiveSvcs	59.99	NA	45.56	646.31	76550	72280	0	72.28
33-3052.00	Transit and Railroad Police	ProtectiveSvcs	59.99	4.9	49.35	2.36	78230	72250	0	72.25
33-9011.00	Animal Control Worker	ProtectiveSvcs	37.16	4.1	40.32	11.6	48150	43170	0	43.17
33-9021.00	Private Detective and/or Investigator	ProtectiveSvcs	42.11	5	55.54	34.6	60270	49540	0	49.54
33-9031.00	Gaming Surveillance Officer and/or Gaming Investigator	ProtectiveSvcs	42.11	NA	48.97	10.66	42460	39210	0	39.21
33-9032.00	Security Guard	ProtectiveSvcs	42.11	3.7	37.98	1202.94	40440	37070	0	37.07
33-9091.00	Crossing Guard	ProtectiveSvcs	32.33	4.1	28.14	90.78	40650	36370	0	36.37
33-9092.00	Lifeguard, Ski Patrol, or Other Recreational Protective Service Worker	ProtectiveSvcs	37.16	3.65	47.75	123.56	31340	30380	0	30.38
33-9093.00	Transportation Security Officer	ProtectiveSvcs	37.16	4.4	38.62	47.95	51040	50020	0	50.02
33-9099.00	Other - Protective Service Worker	ProtectiveSvcs	37.16	NA	51.83	72.32	33970	33130	0	33.13
33-9099.02	Loss Prevention Specialist	ProtectiveSvcs	42.11	NA	44.22	82.5	47420	39360	0	39.36
33-9099.00	Other - Protective Service Worker	ProtectiveSvcs	37.16	NA	51.83	82.5	47420	39360	0	39.36
35-1011.00	Chef and/or Head Cook	FoodPrepServing	35.16	4.85	62.51	172.37	62640	58920	0	58.92
35-1012.00	Supervisor/Manager of Food Preparation and Serving Workers	FoodPrepServing	35.16	4.1	41.28	1176.54	43310	38520	0	38.52
35-2011.00	Cook - Fast Food	FoodPrepServing	28.07	NA	20.51	673.49	29760	29260	0	29.26
35-2012.00	Cook - Institutional and Cafeteria	FoodPrepServing	30.76	NA	34.28	435.64	35920	35320	0	35.32
35-2013.00	Cook - Private Household	FoodPrepServing	29.98	NA	47.66	0.74	49790	42590	0	42.59
35-2014.00	Cook - Restaurant	FoodPrepServing	30.76	NA	41.88	1412.35	36060	35780	0	35.78
35-2015.00	Cook - Short Order	FoodPrepServing	28.07	NA	33.61	126.37	33920	34130	0	34.13
35-2019.00	Cook - Other	FoodPrepServing	30.76	3.7	41.56	18.65	37610	35920	0	35.92
35-2021.00	Food Preparation Worker	FoodPrepServing	24.08	2.7	26.9	879.61	32960	32420	0	32.42
35-3011.00	Bartender	FoodPrepServing	24.53	3.6	33.37	711.14	37090	31510	0	31.51
35-3022.00	Other - Food Preparation Worker	FoodPrepServing	16.78	2.9	22.63	3676.58	30110	29540	0	29.54
35-3021.00	Other - Food Preparation Worker	FoodPrepServing	16.78	2.8	22.63	3676.58	30110	29540	0	29.54
35-3022.01	Barista	FoodPrepServing	23.02	NA	27.35	3676.58	30110	29540	0	29.54
35-3031.00	Waiter/Waitress	FoodPrepServing	28.08	3.6	26.99	2237.85	36530	31940	0	31.94
35-3041.00	Food Server	FoodPrepServing	21.12	3.9	22.03	267.84	33840	33110	0	33.11
35-9011.00	Food Service Attendant/Helper	FoodPrepServing	24.08	2.3	22.99	483.39	32730	31180	0	31.18
35-9021.00	Dishwasher	FoodPrepServing	16.78	2.8	14.5	463.94	31650	31200	0	31.2
35-9031.00	Host/Hostess	FoodPrepServing	16.78	3.65	30.01	425.02	30750	29220	0	29.22
35-9099.00	Other - Food Preparation Worker	FoodPrepServing	16.78	3.7	22.63	86.35	35430	33870	0	33.87
37-1011.00	Supervisor/Manager of Housekeeping and Janitorial Workers	BldgGroundsCleaningMntnce	35.62	4	37.15	171.12	49980	46650	1	46.65
37-1012.00	Supervisor/Manager of Landscaping, Lawn Service, and Groundskeeping Workers	BldgGroundsCleaningMntnce	36.1	3.9	44.18	126.02	58920	55740	1	55.74
37-2011.00	Janitor and/or Cleaner (except Maid and/or Housekeeping Cleaner)	BldgGroundsCleaningMntnce	22.33	NA	23.62	2172.5	36250	35020	1	35.02
37-2012.00	Maid and/or Housekeeping Cleaner	BldgGroundsCleaningMntnce	20.05	3.07	22.66	836.23	34650	33450	1	33.45
37-2019.00	Other - Building Cleaning Worker	BldgGroundsCleaningMntnce	22.33	3	21.33	13.74	43740	39900	1	39.9
37-2021.00	Pest Control Worker	BldgGroundsCleaningMntnce	32.34	3.9	33.04	93.76	44650	43470	1	43.47
37-3011.00	Landscaping and/or Groundskeeping Worker	BldgGroundsCleaningMntnce	28.57	NA	29.55	929.93	39790	37360	1	37.36
37-3012.00	Pesticide Handler, Sprayer, and/or Applicator	BldgGroundsCleaningMntnce	28.57	NA	31.7	23.52	44480	44070	1	44.07
37-3013.00	Tree Trimmer and/or Pruner	BldgGroundsCleaningMntnce	28.57	NA	32.12	50.27	52850	49070	1	49.07
37-3019.00	Other - Grounds Maintenance Worker	BldgGroundsCleaningMntnce	28.57	4	28.27	11.98	46540	43310	1	43.31
39-1012.00	Gaming Service Worker	PersonalCareRelatedSvcs	29.45	NA	38.45	25.1	62110	61210	0	61.21
39-1011.00	Gaming Service Worker	PersonalCareRelatedSvcs	29.45	3.5	38.45	25.1	62110	61210	0	61.21
39-1021.00	Supervisor/Manager of Personal Service Workers	PersonalCareRelatedSvcs	36.75	4.35	53.68	88.14	50650	46060	0	46.06
39-1021.00	Supervisor/Manager of Personal Service Workers	PersonalCareRelatedSvcs	36.75	NA	53.68	106.44	50090	46690	0	46.69
39-2011.00	Animal Trainer	PersonalCareRelatedSvcs	21.16	4.1	49.39	19.24	44910	38810	0	38.81
39-2021.00	Nonfarm Animal Caretaker	PersonalCareRelatedSvcs	21.16	3.7	42.1	268.83	33530	31200	0	31.2
39-3011.00	Gaming Service Worker	PersonalCareRelatedSvcs	29.45	NA	38.45	80.57	40030	32240	0	32.24
39-3012.00	Gaming Service Worker	PersonalCareRelatedSvcs	29.45	NA	38.45	8.7	32030	29170	0	29.17
39-3019.00	Gaming Service Worker	PersonalCareRelatedSvcs	29.45	2.9	38.45	13.3	35650	32710	0	32.71
39-3021.00	Motion Picture Projectionist	PersonalCareRelatedSvcs	37.94	4.1	41.83	2.61	43800	35160	0	35.16
39-3031.00	Usher, Lobby Attendant, and/or Ticket Taker	PersonalCareRelatedSvcs	20.03	3	25.52	117.56	30520	29780	0	29.78
39-3091.00	Amusement and/or Recreation Attendant	PersonalCareRelatedSvcs	25.33	2.6	28.34	361.68	30240	29390	0	29.39
39-3092.00	Costume Attendant	PersonalCareRelatedSvcs	25.33	NA	35.75	6.3	60230	52370	0	52.37
39-3093.00	Locker Room, Coatroom, and/or Dressing Room Attendant	PersonalCareRelatedSvcs	25.41	NA	19.97	14.72	34590	33450	0	33.45
39-3099.00	Other - Entertainment Attendant or Related Worker	PersonalCareRelatedSvcs	25.33	NA	34.92	7.32	34670	33280	0	33.28
39-4011.00	Embalmer	PersonalCareRelatedSvcs	25.41	4.45	38.59	3.38	56690	54090	0	54.09
39-9099.00	Other - Personal Care and Service Worker	PersonalCareRelatedSvcs	25.41	2.6	41.41	3.22	44290	41670	0	41.67
39-4021.00	Funeral Attendant	PersonalCareRelatedSvcs	25.41	NA	37.06	32.62	35200	33850	0	33.85
39-4031.00	Funeral Director	Management	49.14	4.9	47.55	24.2	58020	51030	0	51.03
39-5011.00	Barber	PersonalCareRelatedSvcs	35.71	4	36.03	15.99	41570	36150	0	36.15
39-5012.00	Hairdresser, Hairstylist, and/or Cosmetologist	PersonalCareRelatedSvcs	36.08	3.9	35.83	294.84	41780	34970	0	34.97
39-5091.00	Makeup Artist	PersonalCareRelatedSvcs	25.41	NA	45.87	4.13	68590	47390	0	47.39
39-5092.00	Manicurist and/or Pedicurist	PersonalCareRelatedSvcs	25.41	3.5	28.56	144.81	36480	34250	0	34.25
39-5093.00	Shampooer	PersonalCareRelatedSvcs	25.41	NA	24.15	7.36	29260	29530	0	29.53
39-5094.00	Skin Care Specialist	PersonalCareRelatedSvcs	25.41	NA	47	65.27	51100	43200	0	43.2
39-6011.00	Baggage Porter and/or Bellhop	PersonalCareRelatedSvcs	27.26	3.35	25.26	28.78	36100	34840	0	34.84
39-6012.00	Concierge	PersonalCareRelatedSvcs	31.93	NA	41.65	41.02	40230	37150	0	37.15
39-9011.00	Child Care Worker	PersonalCareRelatedSvcs	29.25	3.9	44.98	497.45	32070	30370	0	30.37
39-9011.01	Nanny	PersonalCareRelatedSvcs	29.25	NA	39.22	497.45	32070	30370	0	30.37
39-9031.00	Fitness Trainer and/or Aerobics Instructor	PersonalCareRelatedSvcs	50.86	3.85	48.3	279.45	51270	46480	0	46.48
39-9032.00	Recreation Worker	PersonalCareRelatedSvcs	25.33	NA	56.32	281.75	36270	34410	0	34.41
39-9041.00	Residential Advisor	PersonalCareRelatedSvcs	25.41	4.15	41.77	88.7	40200	37950	0	37.95
39-9099.00	Other - Personal Care and Service Worker	PersonalCareRelatedSvcs	25.41	NA	41.41	60.39	37190	36980	0	36.98
41-1011.00	Supervisor/Manager of Retail Sales Workers	SalesRelatedSvcs	44.15	4.05	44.84	1087.89	52030	46730	0	46.73
41-1012.00	Supervisors/Manager of Non-Retail Sales Workers	SalesRelatedSvcs	44.15	4.8	49.63	227.15	99020	84570	0	84.57
41-2011.00	Cashier	SalesRelatedSvcs	29.45	3.35	25.77	3298.66	30710	29720	0	29.72
41-2012.00	Gaming Change Person and/or Booth Cashier	SalesRelatedSvcs	29.45	NA	28.82	20.56	36030	33230	0	33.23
41-2021.00	Counter and/or Rental Clerk	SalesRelatedSvcs	33.6	3.05	30.97	390.3	41630	37400	0	37.4
41-2022.00	Parts Salesperson	SalesRelatedSvcs	29.93	3.4	34.55	260.77	41080	36860	0	36.86
41-2031.00	Retail Salesperson	SalesRelatedSvcs	32.32	3.54	31.04	3684.74	36690	33680	0	33.68
41-3011.00	Advertising Sales Agent	SalesRelatedSvcs	39.29	4.1	47.09	108.1	75820	61270	0	61.27
41-3021.00	Insurance Sales Agent	SalesRelatedSvcs	44.85	4.8	39.15	457.51	79700	59080	0	59.08
41-3031.02	Financial Services Sales Agent	SalesRelatedSvcs	52.8	NA	57.08	479.63	109710	76900	0	76.9
41-3031.01	Financial Services Sales Agent	SalesRelatedSvcs	52.8	NA	57.08	479.63	109710	76900	0	76.9
41-3031.00	Securities and Commodities Sales Agent	SalesRelatedSvcs	52.8	5.6	62.78	479.63	109710	76900	0	76.9
41-3031.03	Securities and Commodities Trader	SalesRelatedSvcs	52.8	NA	65.32	479.63	109710	76900	0	76.9
41-3041.00	Travel Agent	SalesRelatedSvcs	32.03	4.1	42.83	58.25	50040	47410	0	47.41
41-3099.01	Energy Broker	SalesRelatedSvcs	32.03	NA	56.87	1142.02	81080	64600	0	64.6
41-3099.00	Sales Representative - Services	SalesRelatedSvcs	35.58	4.5	33.63	1142.02	81080	64600	0	64.6
41-4011.00	Other - Sales Representative	SalesRelatedSvcs	35.58	4.6	34.98	311.78	113520	99710	0	99.71
41-4011.07	Solar Sales Representative and/or Assessor	SalesRelatedSvcs	32.03	NA	44.95	311.78	113520	99710	0	99.71
41-4012.00	Sales Representative - Wholesale and Manufacturing	SalesRelatedSvcs	48.54	NA	44.16	1288.92	80490	65630	0	65.63
41-9011.00	Product Promoters and/or Demonstrator	SalesRelatedSvcs	32.09	4.35	38.78	50.79	41090	36970	0	36.97
41-9012.00	Model	SalesRelatedSvcs	32.09	NA	60.99	3.09	68700	47430	0	47.43
41-9021.00	Real Estate Broker	SalesRelatedSvcs	48.82	4.9	52.57	51.35	86130	63060	0	63.06
41-9022.00	Real Estate Sales Agent	SalesRelatedSvcs	48.82	NA	51.33	197.72	69610	54300	0	54.3
41-9031.00	Sales Engineer	SalesRelatedSvcs	53.16	5.1	56.13	59.34	130550	116950	0	116.95
41-9041.00	Telemarketer	SalesRelatedSvcs	22.37	2.5	15	81.58	36680	34480	0	34.48
41-9091.00	NA	NA	NA	2.86	NA	6.22	42200	34910	0	34.91
41-9099.00	Other - Sales Worker	SalesRelatedSvcs	32.03	3.54	38.6	114.28	54150	44610	0	44.61
43-1011.00	Supervisor/Manager of Office and Administrative Support Workers	OfficeAdminSupport	50.54	4.7	52.74	1504.57	68620	63450	0	63.45
43-2011.00	Switchboard Operator (including Answering Service)	OfficeAdminSupport	33.08	3.1	33.98	43.83	40020	36750	0	36.75
43-2021.00	Telephone Operator	OfficeAdminSupport	39.55	3.6	30.5	4.6	42100	38080	0	38.08
27-4013.00	Radio Operator	ArtsDesignEntnSportsMedia	42.83	NA	47.41	1.38	53240	49310	0	49.31
43-2099.00	Communications Equipment Operator	OfficeAdminSupport	33.08	3.5	47.84	1.38	53240	49310	0	49.31
43-3011.00	Bill and/or Account Collector	OfficeAdminSupport	24.3	3	28.94	190.91	46020	44250	0	44.25
43-3021.00	Billing Clerk	OfficeAdminSupport	30.89	4.25	38.34	430.22	47120	45590	0	45.59
43-3021.01	Statement Clerk	OfficeAdminSupport	34.5	NA	40.26	430.22	47120	45590	0	45.59
43-3021.02	Billing, Cost, and/or Rate Clerk	OfficeAdminSupport	27.9	NA	37.97	430.22	47120	45590	0	45.59
43-3031.00	Bookkeeping, Accounting, and Auditing Clerks	OfficeAdminSupport	46.64	4.6	51.98	1501.91	49580	47440	0	47.44
43-3041.00	Gaming Clerk	OfficeAdminSupport	29.45	3.4	35.93	12.56	36750	36110	0	36.11
43-3051.00	Payroll and/or Timekeeping Clerk	OfficeAdminSupport	41.71	4.3	41.97	157.23	54690	52240	0	52.24
43-3061.00	Procurement Clerk	OfficeAdminSupport	50.11	3.9	40.13	61.58	47940	46670	0	46.67
43-3071.00	Teller	OfficeAdminSupport	43.28	4.2	39.14	340.82	38850	37640	0	37.64
43-3099.00	Clerk - (Brokerage, Court, Municipal, and/or License)	OfficeAdminSupport	33.03	3.9	45.86	44.52	52690	49940	0	49.94
43-4011.00	Brokerage Clerk	OfficeAdminSupport	33.03	4.8	52.76	48.06	63130	60150	0	60.15
43-4021.00	Correspondence Clerk	OfficeAdminSupport	34.86	3.7	37.62	4.65	46940	42120	0	42.12
43-4031.00	Court Clerk	OfficeAdminSupport	33.03	5	49.53	157.96	48760	46110	0	46.11
43-4031.03	License Clerk	OfficeAdminSupport	40.36	NA	37.54	157.96	48760	46110	0	46.11
43-4031.02	Municipal Clerk	OfficeAdminSupport	31.49	NA	46.68	157.96	48760	46110	0	46.11
43-4031.01	Court, Municipal, and/or License Clerk	OfficeAdminSupport	33.03	NA	49.44	157.96	48760	46110	0	46.11
43-4041.02	Credit Authorizer, Checker, and/or Clerk	OfficeAdminSupport	40.36	NA	39.04	14.29	50380	48000	0	48
43-4041.01	Credit Authorizer, Checker, and/or Clerk	OfficeAdminSupport	40.36	NA	39.04	14.29	50380	48000	0	48
43-4041.00	Credit Authorizer, Checker, and/or Clerk	OfficeAdminSupport	40.36	3.4	39.04	14.29	50380	48000	0	48
43-4051.03	Patient Representative	OfficeAdminSupport	46.08	NA	49.74	2858.71	43520	39680	0	39.68
43-4051.00	Customer Service Representative	OfficeAdminSupport	40.36	3.53	35.01	2858.71	43520	39680	0	39.68
43-4061.00	Eligibility Interviewer - Government Program	OfficeAdminSupport	46.1	5	40.45	150.19	51840	50270	0	50.27
43-4071.00	File Clerk	OfficeAdminSupport	36.06	3.95	32.22	82.29	40730	38130	0	38.13
43-4081.00	Hotel, Motel, and Resort Desk Clerk	OfficeAdminSupport	31.93	3.5	31.88	263.8	32570	30790	0	30.79
43-4111.00	Employment Interviewer	BusinFinanOperations	48.79	5	42.69	160.55	42750	40300	0	40.3
43-4121.00	Library Assistant	OfficeAdminSupport	29.28	3.2	41.54	83.68	35970	34020	0	34.02
43-4131.00	Loan Clerk	OfficeAdminSupport	40.36	4.9	45.09	203.94	48660	47380	0	47.38
43-4141.00	New Accounts Clerk	OfficeAdminSupport	48.79	4.3	41.99	41.18	44670	44630	0	44.63
43-4151.00	Order Clerk	OfficeAdminSupport	31.03	3.7	33.87	91.83	43530	41600	0	41.6
43-4161.00	Human Resources Assistant	OfficeAdminSupport	36.08	3.9	47.04	101.44	48800	47710	0	47.71
43-4171.00	Receptionist and/or Information Clerk	OfficeAdminSupport	39.02	4.1	37.97	1003.82	36590	35840	0	35.84
43-4181.00	Reservation and Transportation Ticket Agent and/or Travel Clerk	OfficeAdminSupport	35.34	3.7	37.27	119.27	46820	40610	0	40.61
43-4199.00	Other - Information and/or Record Clerk	OfficeAdminSupport	34.5	4.4	39.85	151.76	47840	46210	0	46.21
43-5011.00	Cargo and/or Freight Agent	OfficeAdminSupport	32.71	4.1	42.54	105.22	52460	48330	0	48.33
43-5011.01	Freight Forwarder	OfficeAdminSupport	32.71	NA	41.87	105.22	52460	48330	0	48.33
43-5021.00	Courier and/or Messenger	OfficeAdminSupport	22.3	3.3	31.74	72.01	38350	36710	0	36.71
43-5031.00	Dispatcher - Police, Fire and Ambulance	OfficeAdminSupport	34.76	3.7	51.4	97.82	52140	48890	0	48.89
43-5032.00	Dispatcher - Other	OfficeAdminSupport	34.76	NA	53.5	206.09	50830	46860	0	46.86
43-5041.00	Meter Reader	OfficeAdminSupport	34	4.4	29.44	19.9	53610	47720	0	47.72
43-5051.00	Postal Service Clerk	OfficeAdminSupport	42.2	4.6	40.7	78.13	59240	59570	0	59.57
43-5052.00	Postal Service Mail Carrier	OfficeAdminSupport	47.04	4.7	41.32	331.6	59340	56330	0	56.33
43-5053.00	Postal Service Mail Sorter, Processor, and/or Processing Machine Operator	OfficeAdminSupport	42.2	4	38.56	116.54	56350	53440	0	53.44
43-5061.00	Production, Planning, and/or Expediting Clerk	OfficeAdminSupport	41.81	4.25	46.41	393.98	57610	53900	0	53.9
43-5071.00	Shipping, Receiving, and Traffic Clerk	OfficeAdminSupport	32.71	3.9	34.68	844.12	42730	39780	0	39.78
43-5111.00	Recordkeeping - Weigher, Measurer, Checker, and/or Sampler	OfficeAdminSupport	27.69	3.8	41.31	51.25	44240	43270	0	43.27
43-6011.00	Executive Secretary and/or Administrative Assistant	OfficeAdminSupport	46.08	4.7	52.24	483.57	73680	70310	0	70.31
43-6012.00	Legal Secretary	OfficeAdminSupport	56.53	NA	51.43	152.79	56330	50680	0	50.68
43-6013.00	Medical Secretary	OfficeAdminSupport	46.08	NA	47.44	749.5	43380	40640	0	40.64
43-6014.00	Secretary	OfficeAdminSupport	46.08	NA	43.53	1785.43	45490	44280	0	44.28
43-9021.00	Data Entry Keyer	OfficeAdminSupport	41.18	4	37.27	154.23	40130	37790	0	37.79
43-9022.00	Word Processor and/or Typist	OfficeAdminSupport	40.03	4	36.48	37.2	47170	46450	0	46.45
43-9031.00	Desktop Publisher	OfficeAdminSupport	50.32	4.8	55.8	5.22	57680	51290	0	51.29
43-9041.01	Insurance Claims and/or Policy Processing Clerk	OfficeAdminSupport	47.27	NA	42.81	241.65	49530	46900	0	46.9
43-9041.02	Insurance Claims and/or Policy Processing Clerk	OfficeAdminSupport	47.27	NA	42.81	241.65	49530	46900	0	46.9
43-9041.00	Insurance Claims and/or Policy Processing Clerk	OfficeAdminSupport	47.27	4.13	42.81	241.65	49530	46900	0	46.9
43-9051.00	Mail Clerk and Mail Machine Operator (except Postal Service)	OfficeAdminSupport	31.94	3.6	34.57	66.6	38370	36880	0	36.88
43-9061.00	Office Clerk, General	OfficeAdminSupport	33.88	3.67	39.34	2496.37	43560	40480	0	40.48
43-9071.00	Office Machine Operator (except Computer)	OfficeAdminSupport	38.51	3.3	36.69	27.96	39600	37450	0	37.45
43-9081.00	Proofreader and/or Copy Marker	OfficeAdminSupport	43.14	4.5	47.11	5.49	51100	48790	0	48.79
