ONET.SOC.2010.Code	OPR.Job.Title	OPR.Field.Title	Prestige1989_GSS	Prestige2012_GSS	Prestige2016_OPR	NumEmployedK	MeanAnnualSal	MedianAnnualSal	Manual	MedSalK
17-2021.00	Agricultural Engineer	EngineeringArchitecture	59.54	6.3	65.83	1.86	93490	88750	0	88.75
17-2031.00	Biomedical Engineer	EngineeringArchitecture	64.27	6.9	80.9	19.32	106700	100730	0	100.73
17-2041.00	Chemical Engineer	EngineeringArchitecture	73.3	6.5	75.36	21.14	122910	112100	0	112.1
17-2051.01	Transportation Engineer	EngineeringArchitecture	70.69	NA	64.51	327.95	101160	95890	0	95.89
17-2051.00	Civil Engineer	EngineeringArchitecture	68.81	6.2	73.1	327.95	101160	95890	0	95.89
17-2061.00	Computer Hardware Engineer	EngineeringArchitecture	73.7	6.5	69.67	82.66	147770	138080	0	138.08
17-2071.00	Electrical Engineers	EngineeringArchitecture	64.19	6.7	71.37	185.43	117680	106950	0	106.95
17-2072.01	Radio Frequency Identification Device Specialist	EngineeringArchitecture	64.38	NA	54.88	96.41	124190	119200	0	119.2
17-2072.00	Electronics Engineer	EngineeringArchitecture	64.19	NA	72.74	96.41	124190	119200	0	119.2
17-2081.00	Environmental Engineer	EngineeringArchitecture	70.69	5.8	69.26	39.88	105840	100090	0	100.09
17-2081.01	Water/Wastewater Engineer	EngineeringArchitecture	70.69	NA	57.06	39.88	105840	100090	0	100.09
17-2111.00	Health and Safety Engineer	EngineeringArchitecture	70.69	NA	58.92	22.51	108740	103690	0	103.69
17-2111.01	Industrial Safety and Health Engineer	EngineeringArchitecture	70.69	NA	62.96	22.51	108740	103690	0	103.69
17-2111.02	Fire-Prevention and Protection Engineer	EngineeringArchitecture	60.42	NA	64.29	22.51	108740	103690	0	103.69
17-2111.03	Product Safety Engineer	EngineeringArchitecture	70.69	NA	64.8	22.51	108740	103690	0	103.69
17-2112.01	Human Factors Engineer and Ergonomist	EngineeringArchitecture	70.69	NA	66.78	332.87	103150	99380	0	99.38
17-2112.00	Industrial Engineers	EngineeringArchitecture	62.26	6	68.17	332.87	103150	99380	0	99.38
17-2121.01	Marine Engineer and/or Naval Architect	EngineeringArchitecture	59.46	NA	72.84	9.96	108110	100270	0	100.27
17-2121.00	Marine Architect	EngineeringArchitecture	59.46	6.3	72.4	9.96	108110	100270	0	100.27
17-2121.02	Marine Engineer and/or Naval Architect	EngineeringArchitecture	59.46	NA	72.84	9.96	108110	100270	0	100.27
17-2131.00	Materials Engineer	EngineeringArchitecture	60.94	6	64.83	24.63	110430	104100	0	104.1
17-2141.01	Fuel Cell Engineer	EngineeringArchitecture	70.69	NA	68.45	281.29	105220	99510	0	99.51
17-2141.02	Automotive Engineer	EngineeringArchitecture	70.69	NA	65.58	281.29	105220	99510	0	99.51
