"Dataset.Name","Cases","Variables","Categorical.Variables","Quantitative.Variables","Topics","Data.Link","Documentation.Link"
"Industrial_experiment",20,2,1,1,"","[Link to Industrial_experiment data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Industrial_experiment/Industrial_experiment.txt)","[Link to Industrial_experiment documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Industrial_experiment/readme.md)"
"Indy_500_2025",109,7,3,4,"histogram; scatterplot; reexpression","[Link to Indy_500_2025 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Indy_500_2025/Indy_500_2025.txt)","[Link to Indy_500_2025 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Indy_500_2025/readme.md)"
"Kentucky_Derby_2025",151,11,4,7,"histogram; scatterplot; reexpression","[Link to Kentucky_Derby_2025 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Kentucky_Derby_2025/Kentucky_Derby_2025.txt)","[Link to Kentucky_Derby_2025 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Kentucky_Derby_2025/readme.md)"
"Load_factors_2024",264,9,0,9,"","[Link to Load_factors_2024 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Load_factors_2024/Load_factors_2024.txt)","[Link to Load_factors_2024 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Load_factors_2024/readme.md)"
"Major_hurricanes_2025",82,2,0,2,"","[Link to Major_hurricanes_2025 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Major_hurricanes_2025/Major_hurricanes_2025.txt)","[Link to Major_hurricanes_2025 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Major_hurricanes_2025/readme.md)"
"Male_body_measurements",250,16,0,16,"","[Link to Male_body_measurements data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Male_body_measurements/Male_body_measurements.txt)","[Link to Male_body_measurements documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Male_body_measurements/readme.md)"
"Marijuana_2015",56,2,1,1,"","[Link to Marijuana_2015 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Marijuana_2015/Marijuana_2015.txt)","[Link to Marijuana_2015 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Marijuana_2015/readme.md)"
"Math_Scores_2023",52,3,1,2,"","[Link to Math_Scores_2023 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Math_Scores_2023/Math_Scores_2023.txt)","[Link to Math_Scores_2023 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Math_Scores_2023/readme.md)"
"Movies_16-25",1000,20,8,11,"","[Link to Movies_16-25 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Movies_16-25/Movies_16-25.txt)","[Link to Movies_16-25 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Movies_16-25/readme.md)"
"MPG_2021",90,3,1,2,"","[Link to MPG_2021 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/MPG_2021/MPG_2021.txt)","[Link to MPG_2021 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/MPG_2021/readme.md)"
"Music_library",192,1,0,1,"","[Link to Music_library data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Music_library/Music_library.txt)","[Link to Music_library documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Music_library/readme.md)"
"Nest_Egg_Index",50,3,2,1,"","[Link to Nest_Egg_Index data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Nest_Egg_Index/Nest_Egg_Index.txt)","[Link to Nest_Egg_Index documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Nest_Egg_Index/readme.md)"
"NHANES_2021_2023",6337,38,10,28,"","[Link to NHANES_2021_2023 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/NHANES_2021_2023/NHANES_2021_2023.txt)","[Link to NHANES_2021_2023 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/NHANES_2021_2023/readme.md)"
"Nightmares",63,2,1,0,"","[Link to Nightmares data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Nightmares/Nightmares.txt)","[Link to Nightmares documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Nightmares/readme.md)"
"Nissan",100,1,0,1,"","[Link to Nissan data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Nissan/Nissan.txt)","[Link to Nissan documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Nissan/readme.md)"
