SCHOOL	DISTRICT	CHARTER	ACT.COMPOSITE	TEST.TAKERS
Marshall High	Marshall	No	18	68
Marshfield High	Marshfield Unified	No	19.92	294
iLEAD Individualized Leadership and Entrepreneurship Academic Discovery	Mauston	Yes	17.26	35
Mauston High	Mauston	No	19.11	85
Mayville Junior-Senior High	Mayville	No	19.12	93
Destinations Career Academy of Wisconsin High	McFarland	Yes	18.59	46
Insight School of Wisconsin High	McFarland	Yes	14.33	37
McFarland High	McFarland	No	20.58	197
Wisconsin Virtual Academy High (WIVA)	McFarland	Yes	16.7	297
Medford High	Medford Area Public	No	19.54	174
Rural Virtual Academy	Medford Area Public	Yes	20.8	76
Mellen Public School	Mellen	No	17.93	14
Melrose-Mindoro Junior/Senior High	Melrose-Mindoro	No	19.27	50
Menasha High	Menasha Joint	No	18.35	199
Menominee Indian High	Menominee Indian	No	14.76	75
Menomonee Falls High	Menomonee Falls	No	20.24	321
Menomonie High	Menomonie Area	No	18.98	249
Homestead High	Mequon-Thiensville	No	23.18	288
Mercer School	Mercer	No	15.67	7
Bridges Virtual Academy	Merrill Area	Yes	21.08	42
Merrill High	Merrill Area	No	19.11	207
Clark Street Community School	Middleton-Cross Plains Area	Yes	21.52	26
Middleton High	Middleton-Cross Plains Area	No	22.38	532
Milton High	Milton	No	20.16	252
Alliance School of Milwaukee	Milwaukee	Yes	16.13	26
ASSATA High	Milwaukee	No	13.36	25
Audubon Technology and Communication High	Milwaukee	No	15.36	95
Banner Preparatory School of Milwaukee	Milwaukee	No	13	12
Bay View High	Milwaukee	No	13.95	143
Bradley Technology High	Milwaukee	No	14.15	147
Carmen High School of Science and Technology South Campus	Milwaukee	Yes	16.29	95
Carmen High School of Science and Technology Southeast Campus	Milwaukee	Yes	14.7	173
Carmen Middle/High School of Science and Technology Northwest Campus	Milwaukee	Yes	14.07	82
Golda Meir School	Milwaukee	No	19.84	142
Grandview High	Milwaukee	No	13.45	67
Green Tree Preparatory Academy	Milwaukee	Yes	13.43	20
Hamilton High	Milwaukee	No	14.36	239
HAPA-Hmong American Peace Academy K3-12	Milwaukee	Yes	18.13	107
James Madison Academic Campus	Milwaukee	No	13.61	89
King International	Milwaukee	No	18.61	322
MacDowell Montessori School K3-12	Milwaukee	No	14.49	43
Marshall High	Milwaukee	No	13.34	135
Milwaukee Excellence Charter School	Milwaukee	Yes	14.15	57
Milwaukee High School of the Arts	Milwaukee	No	15.35	193
Milwaukee School of Languages	Milwaukee	No	18.34	112
North Division High	Milwaukee	No	12.64	56
NOVA-Northwest Opportunities Vocational Academy	Milwaukee	No	12.69	22
Obama School of Career and Technical Education	Milwaukee	No	14.26	144
Project STAY-Supporting Teachers and Youth	Milwaukee	No	12.56	37
Pulaski High	Milwaukee	No	13.87	181
Reagan College Preparatory High	Milwaukee	No	20.9	307
Riverside High	Milwaukee	No	15.01	198
Shalom High	Milwaukee	No	11.94	32
South Accelerated Academy	Milwaukee	No	13	9
South Division High	Milwaukee	No	13.43	133
Transition High	Milwaukee	No	12	12
Vincent Accelerated Academy	Milwaukee	No	13.5	18
Vincent High	Milwaukee	No	13.71	80
WHS Information Technology	Milwaukee	No	12.86	63
Wisconsin Conservatory of Lifelong Learning	Milwaukee	No	13.12	31
Mineral Point High	Mineral Point Unified	No	21.98	56
Mishicot High	Mishicot	No	19.05	58
Mondovi High	Mondovi	No	18.8	49
Monona Grove High	Monona Grove	No	20.47	264
Monona Grove Liberal Arts Charter School for the 21st Century	Monona Grove	Yes	16.93	14
Monroe High	Monroe	No	19.34	167
High Marq Environmental Charter School	Montello	Yes	21.43	8
Montello Junior/Senior High	Montello	No	17.85	40
Montello Virtual Charter School	Montello	Yes	15.67	7
Monticello High	Monticello	No	20.5	21
Mosinee High	Mosinee	No	19.97	164
Mount Horeb High	Mount Horeb Area	No	21.27	199
Mukwonago High	Mukwonago	No	20.7	382
Muskego High	Muskego-Norway	No	22.75	400
Necedah High	Necedah Area	No	17.44	47
Neenah High	Neenah Joint	No	20.55	454
Neillsville High	Neillsville	No	18.23	56
Nekoosa High	Nekoosa	No	17.89	65
New Auburn High	New Auburn	No	18.89	18
Eisenhower Middle/High	New Berlin	No	24.11	164
New Berlin West Middle/High	New Berlin	No	21.69	155
New Glarus High	New Glarus	No	22.06	68
New Holstein High	New Holstein	No	20.53	75
New Lisbon Junior High/High	New Lisbon	No	17.5	35
Catalyst Academy	New London	Yes	13.78	11
New London High	New London	No	19.64	153
New Richmond High	New Richmond	No	20.56	250
Niagara High	Niagara	No	18.5	28
Nicolet High	Nicolet Union High School	No	21.48	257
Norris Academy	Norris	No	15.86	7
North Crawford High	North Crawford	No	17.73	36
Horace Mann High	North Fond du Lac	No	17.54	110
Ozaukee High	Northern Ozaukee	No	19.81	57
Wisconsin Virtual Learning	Northern Ozaukee	Yes	19.98	52
Northland Pines High	Northland Pines	No	21.53	81
Northwood High/Middle	Northwood	Yes	20.29	17
Brookwood High	Norwalk-Ontario-Wilton	No	18.97	31
Oak Creek High	Oak Creek-Franklin Joint	No	19.25	546
Oakfield High	Oakfield	No	19.86	36
Oconomowoc High	Oconomowoc Area	No	20.55	427
Oconto Falls High	Oconto Falls Public	No	19.43	115
Northeast Wisconsin Learning Academy	Oconto Unified	No	11.8	8
Oconto High	Oconto Unified	No	19.15	55
Omro High	Omro	No	18.89	83
Onalaska High	Onalaska	No	21.25	244
Oostburg High	Oostburg	No	21.61	74
Oregon High	Oregon	No	21.62	309
Osceola High	Osceola	No	19.87	124
North High	Oshkosh Area	No	17.18	300
West High	Oshkosh Area	No	19.73	398
Osseo-Fairchild High	Osseo-Fairchild	No	17.71	60
Owen-Withee High	Owen-Withee	No	16.22	23
Palmyra-Eagle High	Palmyra-Eagle Area	No	17.65	48
Pardeeville High	Pardeeville Area	No	20.2	53
Parkview High	Parkview	No	19.41	59
Pecatonica High	Pecatonica Area	No	18.23	31
Pepin High	Pepin Area	No	19.67	24
Peshtigo High	Peshtigo	No	18.62	78
Pewaukee High	Pewaukee	No	22.72	204
Phelps High	Phelps	No	16.13	8
Phillips High	Phillips	No	18.62	54
Pittsville High	Pittsville	No	19.33	36
Platteville High	Platteville	No	20.3	111
Plum City High	Plum City	No	18.33	18
Plymouth High	Plymouth Joint	No	20.46	173
John Edwards High	Port Edwards	No	19.15	33
Port Washington High	Port Washington-Saukville	No	21.11	192
Portage High	Portage Community	No	19.52	172
Potosi High	Potosi	No	20.67	19
Poynette High	Poynette	No	20.23	72
Prairie du Chien High	Prairie du Chien Area	No	19.39	79
Prairie Farm High	Prairie Farm Public	No	18.91	33
Prentice High	Prentice	No	20.77	22
Prescott High	Prescott	No	19.83	101
Princeton School	Princeton	No	17.12	26
Pulaski High	Pulaski Community	No	19.54	239
Case High	Racine Unified	No	16.36	407
Horlick High	Racine Unified	No	14.78	263
Park High	Racine Unified	No	14.51	219
Racine Alternative Learning	Racine Unified	No	14.96	55
The REAL School-Racine Educational Alternative Learning Experience	Racine Unified	No	17.92	67
Walden III High	Racine Unified	No	19.83	83
Randolph High	Randolph	No	18.93	47
Random Lake High	Random Lake	No	20.37	54
Reedsburg Area High	Reedsburg	No	19.3	206
Reedsville Jr/Sr High School	Reedsville	No	18.71	42
Rhinelander High	Rhinelander	No	18.37	171
Rib Lake High	Rib Lake	No	18.94	34
Rice Lake High	Rice Lake Area	No	19.59	185
Richland Center High	Richland	No	17.59	89
Rio Middle/High	Rio Community	No	20.75	32
Odyssey Academy of Virtual Learning	Ripon Area	Yes	23.13	8
Ripon High	Ripon Area	No	20.63	106
Renaissance Charter Academy	River Falls	Yes	14.83	15
River Falls High	River Falls	No	21.17	253
River Ridge High	River Ridge	No	18.39	36
River Valley High	River Valley	No	20.35	85
Riverdale High	Riverdale	No	18.35	55
Laconia High	Rosendale-Brandon	No	19.73	66
Rosholt High	Rosholt	No	20.13	38
Royall High	Royall	No	17.77	40
Saint Croix Central High	Saint Croix Central	No	19.89	116
Saint Croix Virtual Academy Inc	Saint Croix Central	Yes	16.11	23
Saint Croix Falls High	Saint Croix Falls	No	20.24	85
Saint Francis High	Saint Francis	No	17.61	140
Sauk Prairie High	Sauk Prairie	No	19.98	207
Seneca High	Seneca Area	No	18.59	28
Sevastopol High	Sevastopol	No	23.52	31
Seymour High	Seymour Community	No	19.48	133
Shawano High	Shawano	No	18.84	191
Central High	Sheboygan Area	Yes	13.33	38
Etude High	Sheboygan Area	Yes	19.38	17
George D Warriner High School for Personalized Learning	Sheboygan Area	Yes	19.55	34
North High	Sheboygan Area	No	19.8	365
South High	Sheboygan Area	No	18.14	261
Sheboygan Falls High	Sheboygan Falls	No	18.82	123
Shell Lake Junior/Senior High	Shell Lake	No	17.88	51
Shiocton High	Shiocton	No	18.92	52
New Horizons for Learning	Shorewood	Yes	15.83	6
Shorewood High	Shorewood	No	23.08	147
Shullsburg High	Shullsburg	No	22.6	25
Siren High	Siren	No	18.91	36
Slinger High	Slinger	No	22.01	243
Solon Springs School	Solon Springs	No	17.75	16
Somerset High	Somerset	No	20.91	118
South Milwaukee High	South Milwaukee	No	17.48	241
South Shore Jr/Sr High	South Shore	No	20.64	16
Southern Door High	Southern Door County	No	19.92	88
Southwestern Wisconsin High	Southwestern Wisconsin	No	17.44	46
Sparta Alternative Independent Learning School	Sparta Area	Yes	13.67	19
Sparta High	Sparta Area	No	17.2	171
Spencer Junior High/High	Spencer	No	18.65	40
Spooner High	Spooner Area	No	18.44	76
Spring Valley High	Spring Valley	No	20.05	41
Stanley-Boyd High	Stanley-Boyd Area	No	18.33	73
Charles F Fernandez Center Alt Learning	Stevens Point Area Public	No	14.1	11
Point of Discovery School	Stevens Point Area Public	Yes	17.62	26
Stevens Point Area Senior High	Stevens Point Area Public	No	18.92	462
Stockbridge High	Stockbridge	No	17.25	16
Stoughton High	Stoughton Area	No	20.41	201
Stratford High	Stratford	No	20.11	61
Sturgeon Bay High	Sturgeon Bay	No	19.91	116
Prairie Phoenix Academy	Sun Prairie Area	No	14.5	23
Sun Prairie East High	Sun Prairie Area	No	20	287
Sun Prairie West High	Sun Prairie Area	No	20.22	305
Superior High	Superior	No	18.41	287
Suring High	Suring Public	No	17.81	38
Thorp High	Thorp	No	18.43	45
Three Lakes High	Three Lakes	No	19.83	30
Tigerton High	Tigerton	No	18.46	13
Tomah High	Tomah Area	No	17.5	214
Tomahawk High	Tomahawk	No	19.91	89
Amherst High	Tomorrow River	No	20.44	89
Tri-County High	Tri-County Area	No	17.76	37
Turtle Lake High	Turtle Lake	No	18.33	21
Lighthouse Learning Academy	Two Rivers Public	Yes	19.44	14
Two Rivers High	Two Rivers Public	No	18.88	90
Union Grove High	Union Grove UHS	No	19.69	223
Unity High	Unity	No	17.91	70
Valders High	Valders Area	No	19.48	62
Verona Area High	Verona Area	No	20.25	432
Laurel High	Viroqua Area	Yes	22.45	11
Viroqua High	Viroqua Area	No	18.9	58
Wabeno High	Wabeno Area	No	15.89	18
Washburn High	Washburn	No	19.77	51
Waterford High	Waterford UHS	No	20.79	219
Waterloo High	Waterloo	No	19	66
eCampus Academy Charter School	Watertown Unified	Yes	19.5	22
Endeavor Charter School	Watertown Unified	Yes	23.86	7
Watertown High	Watertown Unified	No	18.42	255
eAchieve Academy - Wisconsin	Waukesha	Yes	19.56	145
North High	Waukesha	No	18.65	247
South High	Waukesha	No	17.04	234
Waukesha Academy of Health Professions	Waukesha	Yes	20.35	37
Waukesha East Alternative School	Waukesha	Yes	13.82	18
Waukesha Engineering Preparatory Academy	Waukesha	Yes	23.62	42
West High	Waukesha	No	22	301
Waunakee High	Waunakee Community	No	21.96	339
Waupaca High	Waupaca	No	20.09	133
Waupun Area Senior High	Waupun	No	18.69	129
East High	Wausau	No	19.91	220
Enrich Excel Achieve Learning Academy	Wausau	Yes	18.36	15
Wausau Area Virtual Education	Wausau	Yes	20.42	20
West High	Wausau	No	20.23	342
Wausaukee High	Wausaukee	No	17.46	24
Wautoma High	Wautoma Area	No	19.08	79
East High	Wauwatosa	No	21.95	236
Wauwatosa Virtual Academy	Wauwatosa	Yes	17.15	26
West High	Wauwatosa	No	20.48	266
