Global.North.South	AI.Improve.Healthcare
3120	Global North	Medium
3121	Global North	Much
3122	Global North	Little
3123	Global North	Medium
3124	Global North	Medium
3125	Global North	Medium
3126	Global North	Medium
3127	Global North	Medium
3128	Global North	Very much
3129	Global North	Very much
3130	Global North	Much
3131	Global North	Medium
3132	Global North	Much
3133	Global North	Very little
3134	Global North	Medium
3135	Global North	Medium
3138	Global North	Medium
3139	Global North	Very much
3140	Global North	Much
3141	Global North	Much
3142	Global North	Little
3143	Global North	Medium
3144	Global North	Medium
3145	Global North	Much
3146	Global North	Very much
3147	Global North	Much
3148	Global North	Very much
3149	Global North	Very much
3150	Global North	Medium
3151	Global North	Medium
3152	Global North	Medium
3153	Global North	Much
3154	Global North	Medium
3155	Global North	Very much
3156	Global North	Much
3157	Global North	Medium
3158	Global North	Medium
3159	Global North	Very little
3160	Global North	Medium
3161	Global North	Medium
3162	Global North	Much
3163	Global North	Much
3164	Global North	Very little
3165	Global North	Little
3166	Global North	Very much
3167	Global North	Very much
3168	Global North	Very little
3169	Global North	Much
3170	Global North	Medium
3171	Global North	Little
3172	Global North	Much
3173	Global North	Medium
3174	Global North	Very much
3175	Global North	Medium
3176	Global North	Medium
3177	Global North	Much
3178	Global North	Medium
3179	Global North	Medium
3180	Global North	Very much
3181	Global North	Very little
3182	Global North	Medium
3183	Global North	Medium
3184	Global North	Medium
3185	Global North	Medium
3186	Global North	Much
3187	Global North	Little
3188	Global North	Very much
3189	Global North	Little
3190	Global North	Medium
3191	Global North	Medium
3192	Global North	Medium
3193	Global North	Very much
3194	Global North	Very much
3195	Global North	Much
3196	Global North	Very much
3197	Global North	Medium
3198	Global North	Very little
3199	Global North	Medium
3200	Global North	Medium
3201	Global North	Much
3202	Global North	Much
3203	Global North	Much
3204	Global North	Little
3205	Global North	Much
3206	Global North	Medium
3207	Global North	Very much
3208	Global North	Much
3209	Global North	Much
3210	Global North	Medium
3211	Global North	Medium
3212	Global North	Medium
3213	Global North	Medium
3214	Global North	Very much
3215	Global North	Medium
3216	Global North	Very much
3217	Global North	Little
3218	Global North	Medium
3219	Global North	Very much
3220	Global North	Much
3221	Global North	Very little
3222	Global North	Much
3223	Global North	Little
3224	Global North	Much
3225	Global North	Very much
3226	Global North	Very much
3227	Global North	Medium
3228	Global North	Much
3229	Global North	Medium
3230	Global North	Very much
3231	Global North	Very little
3232	Global North	Much
3233	Global North	Much
3234	Global North	Little
3235	Global North	Very much
3236	Global North	Very much
3237	Global North	Medium
3238	Global North	Very much
3239	Global North	Medium
3240	Global North	Medium
3241	Global North	Medium
3242	Global North	Medium
3243	Global North	Little
3244	Global North	Little
3245	Global North	Medium
3246	Global North	Much
3247	Global North	Very little
3248	Global North	Much
3249	Global North	Very much
3250	Global North	Much
3251	Global North	Much
3252	Global North	Much
3253	Global North	Much
3254	Global North	Little
3255	Global North	Much
3256	Global North	Very much
3257	Global North	Medium
3259	Global North	Medium
3260	Global North	Medium
3261	Global North	Much
3262	Global North	Very much
3263	Global North	Very much
3264	Global North	Medium
3265	Global North	Much
3266	Global North	Little
3267	Global North	Very little
3268	Global North	Very much
3269	Global North	Medium
3270	Global North	Very much
3271	Global North	Little
3272	Global North	Very much
3273	Global North	Very much
3274	Global North	Medium
3275	Global North	Medium
3276	Global North	Much
3277	Global North	Medium
3278	Global North	Medium
3279	Global North	Much
3280	Global North	Very much
3281	Global North	Much
3282	Global North	Little
3283	Global North	Medium
3284	Global North	Very much
3285	Global North	Little
3286	Global North	Very much
3287	Global North	Much
3288	Global North	Very much
3289	Global North	Very much
3290	Global North	Medium
3291	Global North	Medium
3292	Global North	Medium
3293	Global North	Medium
3294	Global North	Medium
3295	Global North	Medium
3296	Global North	Medium
3297	Global North	Medium
3298	Global North	Much
3299	Global North	Little
3300	Global North	Much
3301	Global North	Medium
3302	Global North	Medium
3303	Global North	Little
3304	Global North	Much
3305	Global North	Very much
3306	Global North	Very little
3307	Global North	Much
3308	Global North	Very much
3309	Global North	Very much
3310	Global North	Medium
3311	Global North	Very much
3312	Global North	Medium
3313	Global North	Very much
3314	Global North	Medium
3315	Global North	Medium
3316	Global North	Medium
3318	Global North	Much
3319	Global North	Much
3320	Global North	Much
3321	Global North	Medium
3322	Global North	Much
3323	Global North	Little
3324	Global North	Very little
3325	Global North	Much
3326	Global North	Very much
3327	Global North	Very little
3328	Global North	Medium
3329	Global North	Very much
3330	Global North	Much
3331	Global North	Little
3332	Global North	Little
3333	Global North	Very much
3334	Global North	Medium
3335	Global North	Little
3336	Global North	Medium
3337	Global North	Very much
3338	Global North	Very much
3339	Global North	Much
3340	Global North	Little
3341	Global North	Much
3342	Global North	Very much
3343	Global North	Very much
3344	Global North	Very much
3345	Global North	Much
3346	Global North	Little
3347	Global North	Medium
3348	Global North	Much
3349	Global North	Medium
3350	Global North	Very much
3351	Global North	Very little
3352	Global North	Medium
3353	Global North	Little
3354	Global North	Little
3355	Global North	Very much
3356	Global North	Very much
3357	Global North	Medium
3358	Global North	Medium
3359	Global North	Medium
3360	Global North	Very much
3361	Global North	Much
3362	Global North	Medium
3363	Global North	Medium
3364	Global North	Little
3365	Global North	Medium
3366	Global North	Very much
3367	Global North	Medium
3368	Global North	Little
3369	Global North	Medium
3370	Global North	Much
3371	Global North	Medium
3373	Global North	Much
3374	Global North	Medium
3375	Global North	Medium
3376	Global North	Much
3377	Global North	Medium
3378	Global North	Much
3379	Global North	Little
3380	Global North	Medium
3381	Global North	Very much
3382	Global North	Little
3383	Global North	Little
3384	Global North	Very little
3385	Global North	Medium
3386	Global North	Much
3387	Global North	Very little
3388	Global North	Medium
3389	Global North	Much
3390	Global North	Medium
3391	Global North	Very much
3392	Global North	Much
3393	Global North	Medium
3394	Global North	Much
3395	Global North	Very little
3396	Global North	Medium
3397	Global North	Much
3398	Global North	Little
3399	Global North	Much
3401	Global North	Little
3402	Global North	Very much
3403	Global North	Medium
3404	Global North	Much
3405	Global North	Little
3406	Global North	Very much
3407	Global North	Very much
3408	Global North	Medium
3409	Global North	Little
3410	Global North	Medium
3411	Global North	Much
3412	Global North	Medium
3413	Global North	Medium
3414	Global North	Medium
3415	Global North	Little
3416	Global North	Medium
3417	Global North	Much
3418	Global North	Medium
3419	Global North	Much
3420	Global North	Much
3421	Global North	Much
3422	Global North	Very much
3423	Global North	Very much
3424	Global North	Much
3425	Global North	Much
3426	Global North	Medium
3427	Global North	Very much
3428	Global North	Much
3429	Global North	Little
3430	Global North	Very much
3432	Global North	Very much
3433	Global North	Much
3434	Global North	Medium
3436	Global North	Medium
3437	Global North	Medium
3438	Global North	Medium
3439	Global North	Much
3440	Global North	Very little
3441	Global North	Medium
3442	Global North	Much
3443	Global North	Very little
3444	Global North	Much
3445	Global North	Very little
3446	Global North	Much
3447	Global North	Medium
3448	Global North	Medium
3449	Global North	Much
3450	Global North	Very little
3451	Global North	Much
3452	Global North	Very much
3453	Global North	Much
3454	Global North	Medium
3455	Global North	Much
3456	Global North	Little
3457	Global North	Much
3458	Global North	Very much
3459	Global North	Very much
3460	Global North	Little
3461	Global North	Medium
3462	Global North	Much
3463	Global North	Little
3464	Global North	Medium
3465	Global North	Little
3466	Global North	Much
3467	Global North	Little
3468	Global North	Much
3469	Global North	Much
3470	Global North	Very much
3471	Global North	Much
3472	Global North	Much
3473	Global North	Little
3474	Global North	Medium
3475	Global North	Little
3476	Global North	Much
3477	Global North	Very much
3478	Global North	Much
3479	Global North	Much
3480	Global North	Much
3481	Global North	Medium
3482	Global North	Much
3483	Global North	Very much
3484	Global North	Medium
3485	Global North	Much
3486	Global North	Medium
3487	Global North	Very much
3488	Global North	Much
3489	Global North	Very much
3490	Global North	Very much
3491	Global North	Much
3492	Global North	Very much
3493	Global North	Very little
3494	Global North	Little
3495	Global North	Medium
3496	Global North	Medium
3497	Global North	Medium
3498	Global North	Much
3499	Global North	Much
3500	Global North	Much
3501	Global North	Medium
3502	Global North	Medium
3503	Global North	Very much
3504	Global North	Very much
3505	Global North	Medium
3506	Global North	Medium
3507	Global North	Medium
3508	Global North	Medium
3509	Global North	Medium
3510	Global North	Medium
3511	Global North	Little
3512	Global North	Medium
3513	Global North	Medium
3514	Global North	Very much
3515	Global North	Medium
3516	Global North	Medium
3517	Global North	Medium
3518	Global North	Much
3519	Global North	Medium
3520	Global North	Little
3521	Global North	Very much
3522	Global North	Medium
3523	Global North	Much
3524	Global North	Very little
3525	Global North	Much
3526	Global North	Very little
3527	Global North	Medium
3528	Global North	Very much
3529	Global North	Much
3530	Global North	Much
3531	Global North	Much
3532	Global North	Medium
3533	Global North	Very little
3534	Global North	Much
3536	Global North	Very little
3538	Global North	Medium
3539	Global North	Medium
3540	Global North	Much
3541	Global North	Medium
3542	Global North	Medium
3543	Global North	Little
3545	Global North	Very much
3546	Global North	Very much
3547	Global North	Medium
3548	Global North	Little
3549	Global North	Much
3550	Global North	Much
3551	Global North	Medium
3552	Global North	Much
3553	Global North	Medium
3554	Global North	Very much
3556	Global North	Very much
3557	Global North	Medium
3558	Global North	Much
3559	Global North	Medium
3560	Global North	Very much
3561	Global North	Little
3562	Global North	Much
3563	Global North	Little
3564	Global North	Very much
3565	Global North	Little
3566	Global North	Medium
3567	Global North	Little
3568	Global North	Much
3569	Global North	Medium
3570	Global North	Medium
3571	Global North	Much
3572	Global North	Medium
3573	Global North	Medium
3574	Global North	Medium
3575	Global North	Very little
3576	Global North	Much
3577	Global North	Much
3578	Global North	Much
3579	Global North	Medium
3581	Global North	Medium
3582	Global North	Medium
3583	Global North	Medium
3584	Global North	Much
3585	Global North	Very much
3586	Global North	Much
3587	Global North	Very little
3588	Global North	Medium
3589	Global North	Medium
3590	Global North	Very much
3591	Global North	Much
3592	Global North	Little
3593	Global North	Little
3594	Global North	Little
3595	Global North	Much
3596	Global North	Much
3597	Global North	Little
3598	Global North	Very much
3599	Global North	Very little
3600	Global North	Very much
3601	Global North	Medium
3602	Global North	Very much
3603	Global North	Very much
3604	Global North	Much
3605	Global North	Much
3606	Global North	Much
3607	Global North	Little
3608	Global North	Medium
3609	Global North	Much
3610	Global North	Very much
3611	Global North	Very much
3612	Global North	Little
3613	Global North	Much
3614	Global North	Very much
3616	Global North	Much
3617	Global North	Very much
3618	Global North	Medium
3619	Global North	Medium
3620	Global North	Very little
3621	Global North	Much
3622	Global North	Medium
3623	Global North	Much
3625	Global North	Much
3626	Global North	Little
3627	Global North	Medium
3628	Global North	Very much
3629	Global North	Very much
3630	Global North	Very much
3631	Global North	Very much
3633	Global North	Much
3634	Global North	Little
3635	Global North	Medium
3636	Global North	Medium
3637	Global North	Medium
3638	Global North	Medium
3639	Global North	Little
3640	Global North	Medium
3641	Global North	Little
3642	Global North	Medium
3643	Global North	Medium
3644	Global North	Medium
3645	Global North	Very much
3646	Global North	Much
3647	Global North	Medium
3648	Global North	Much
3649	Global North	Very much
3650	Global North	Much
3651	Global North	Little
3652	Global North	Much
3653	Global North	Medium
3654	Global North	Very much
3655	Global North	Medium
3656	Global North	Much
3657	Global North	Much
3658	Global North	Medium
3659	Global North	Medium
3660	Global North	Much
3661	Global North	Much
3662	Global North	Much
3663	Global North	Medium
3664	Global North	Very much
3665	Global North	Little
3667	Global North	Very much
3668	Global North	Very little
3669	Global North	Very much
3670	Global North	Medium
3671	Global North	Little
3672	Global North	Much
3673	Global North	Medium
3674	Global North	Medium
3675	Global North	Medium
3676	Global North	Little
3677	Global North	Much
3678	Global North	Much
3679	Global North	Much
3680	Global North	Very little
3681	Global North	Very much
3682	Global North	Very much
3683	Global North	Medium
3684	Global North	Medium
3685	Global North	Very much
3686	Global North	Medium
3687	Global North	Medium
3688	Global North	Little
3689	Global North	Very little
3690	Global North	Little
3691	Global North	Medium
3692	Global North	Little
3693	Global North	Little
3694	Global North	Much
3695	Global North	Medium
3696	Global North	Medium
3697	Global North	Little
3698	Global North	Medium
3699	Global North	Very little
3700	Global North	Much
3701	Global North	Medium
3702	Global North	Medium
3703	Global North	Medium
3704	Global North	Much
3705	Global North	Much
3706	Global North	Medium
3707	Global North	Much
3708	Global North	Much
3709	Global North	Very much
3710	Global North	Very much
3711	Global North	Much
3712	Global North	Medium
3713	Global North	Little
3714	Global North	Much
3715	Global North	Very much
3716	Global North	Much
3717	Global North	Much
3718	Global North	Much
3719	Global North	Very much
3720	Global North	Medium
3721	Global North	Medium
3722	Global North	Medium
3723	Global North	Much
3724	Global North	Medium
3725	Global North	Very little
3726	Global North	Medium
3727	Global North	Much
3728	Global North	Medium
3729	Global North	Medium
3730	Global North	Medium
3731	Global North	Very much
3732	Global North	Medium
3733	Global North	Medium
3734	Global North	Very little
3735	Global North	Very much
3736	Global North	Medium
3737	Global North	Medium
3738	Global North	Much
3739	Global North	Much
3740	Global North	Little
3741	Global North	Medium
3742	Global North	Little
3743	Global North	Medium
3744	Global North	Medium
3745	Global North	Medium
3746	Global North	Little
3747	Global North	Medium
3748	Global North	Medium
3749	Global North	Much
3750	Global North	Medium
3751	Global North	Very much
3752	Global North	Little
3753	Global North	Much
3754	Global North	Little
3755	Global North	Very much
3756	Global North	Little
3757	Global North	Much
3758	Global North	Medium
3759	Global North	Much
3760	Global North	Much
3761	Global North	Medium
3762	Global North	Medium
3763	Global North	Little
3764	Global North	Much
3765	Global North	Medium
3766	Global North	Much
3767	Global North	Medium
3768	Global North	Much
3769	Global North	Medium
3770	Global North	Medium
3771	Global North	Very little
3772	Global North	Medium
3773	Global North	Medium
3774	Global North	Much
3775	Global North	Very much
3776	Global North	Very much
3777	Global North	Medium
3778	Global North	Much
3779	Global North	Medium
3780	Global North	Very much
3781	Global North	Very much
3782	Global North	Very little
3783	Global North	Very much
3784	Global North	Medium
3785	Global North	Medium
3786	Global North	Much
3787	Global North	Very much
3788	Global North	Much
3789	Global North	Much
3790	Global North	Very much
3791	Global North	Much
3792	Global North	Much
3793	Global North	Much
3794	Global North	Much
3795	Global North	Much
3796	Global North	Medium
3797	Global North	Medium
3798	Global North	Little
3799	Global North	Much
3800	Global North	Much
3801	Global North	Very much
3802	Global North	Medium
3803	Global North	Very much
3804	Global North	Little
3805	Global North	Much
3806	Global North	Much
3807	Global North	Little
3808	Global North	Very much
3809	Global North	Much
3810	Global North	Much
3811	Global North	Much
3812	Global North	Very much
3813	Global North	Much
3814	Global North	Much
3815	Global North	Very little
3816	Global North	Much
3817	Global North	Little
3818	Global North	Medium
3819	Global North	Medium
3820	Global North	Much
3821	Global North	Much
3822	Global North	Much
3823	Global North	Much
3824	Global North	Much
3825	Global North	Very much
3826	Global North	Much
3827	Global North	Medium
3828	Global North	Very much
3829	Global North	Medium
3830	Global North	Much
3831	Global North	Medium
3832	Global North	Medium
3833	Global North	Very little
3834	Global North	Much
3835	Global North	Medium
3836	Global North	Medium
3837	Global North	Medium
3838	Global North	Medium
3839	Global North	Much
3840	Global North	Medium
3841	Global North	Very little
3842	Global North	Very much
3843	Global North	Medium
3844	Global North	Much
3845	Global North	Medium
3846	Global North	Much
3847	Global North	Medium
3848	Global North	Very much
3849	Global North	Much
3850	Global North	Much
3851	Global North	Much
3852	Global North	Much
3853	Global North	Medium
3854	Global North	Much
3855	Global North	Much
3856	Global North	Very much
3857	Global North	Much
3858	Global North	Much
3859	Global North	Little
3860	Global North	Much
3861	Global North	Much
3862	Global North	Medium
3863	Global North	Much
3864	Global North	Much
3865	Global North	Much
3866	Global North	Much
3867	Global North	Medium
3868	Global North	Much
3869	Global North	Medium
3870	Global North	Much
3871	Global North	Very little
3872	Global North	Medium
3873	Global North	Little
3874	Global North	Very much
3875	Global North	Medium
3876	Global North	Medium
3877	Global North	Little
3878	Global North	Much
3879	Global North	Very little
3880	Global North	Very much
3881	Global North	Much
3882	Global North	Much
3883	Global North	Much
3884	Global North	Medium
3885	Global North	Much
3886	Global North	Very much
3887	Global North	Much
3888	Global North	Very much
3889	Global North	Much
3890	Global North	Much
3891	Global North	Medium
3892	Global North	Little
3893	Global North	Little
3894	Global North	Much
3895	Global North	Medium
3896	Global North	Medium
3897	Global North	Much
3898	Global North	Much
3899	Global North	Much
3900	Global North	Much
3901	Global North	Medium
3902	Global North	Little
3903	Global North	Little
3904	Global North	Medium
3905	Global North	Much
3906	Global North	Medium
3907	Global North	Medium
3908	Global North	Little
3909	Global North	Much
3910	Global North	Much
3911	Global North	Very little
3912	Global North	Much
3913	Global North	Very much
3914	Global North	Much
3915	Global North	Medium
3916	Global North	Much
3917	Global North	Much
3918	Global North	Little
3919	Global North	Very little
3920	Global North	Little
3921	Global North	Much
3922	Global North	Much
3923	Global North	Much
3924	Global North	Very much
3925	Global North	Much
3926	Global North	Much
3927	Global North	Very much
3928	Global North	Medium
3929	Global North	Much
3930	Global North	Very much
3931	Global North	Much
3932	Global North	Medium
3933	Global North	Very much
3934	Global North	Much
3935	Global North	Very much
3936	Global North	Medium
3937	Global North	Much
3938	Global North	Much
3939	Global North	Medium
3940	Global North	Medium
3941	Global North	Medium
3942	Global North	Medium
3943	Global North	Much
3944	Global North	Much
3945	Global North	Very much
3946	Global North	Very much
3947	Global North	Little
3948	Global North	Medium
3949	Global North	Much
3950	Global North	Very much
3951	Global North	Medium
3952	Global North	Much
3953	Global North	Very much
3954	Global North	Much
3955	Global North	Much
3956	Global North	Medium
3957	Global North	Very much
3958	Global North	Medium
3959	Global North	Medium
3960	Global North	Little
3961	Global North	Much
3962	Global North	Much
3963	Global North	Much
3964	Global North	Very much
3965	Global North	Medium
3966	Global North	Much
3967	Global North	Little
3968	Global North	Much
3969	Global North	Much
3970	Global North	Much
3971	Global North	Much
3972	Global North	Much
3973	Global North	Much
3974	Global North	Medium
3975	Global North	Much
3976	Global North	Much
3977	Global North	Much
3978	Global North	Much
3979	Global North	Little
3980	Global North	Much
3981	Global North	Much
3982	Global North	Much
3983	Global North	Little
3984	Global North	Much
3985	Global North	Very much
3986	Global North	Much
3987	Global North	Much
3988	Global North	Medium
3989	Global North	Much
3990	Global North	Medium
3991	Global North	Much
3992	Global North	Much
3993	Global North	Little
3994	Global North	Very much
3995	Global North	Little
3996	Global North	Much
3997	Global North	Medium
3998	Global North	Little
3999	Global North	Much
4000	Global North	Much
4001	Global North	Medium
4002	Global North	Very much
4003	Global North	Much
4004	Global North	Much
4005	Global North	Much
4006	Global North	Much
4007	Global North	Medium
4008	Global North	Medium
4009	Global North	Much
4010	Global North	Very much
4011	Global North	Very much
4012	Global North	Medium
4013	Global North	Much
4014	Global North	Much
4015	Global North	Medium
4016	Global North	Medium
4017	Global North	Little
4018	Global North	Medium
4019	Global North	Little
4020	Global North	Little
4021	Global North	Much
4022	Global North	Much
4023	Global North	Much
4024	Global North	Medium
4025	Global North	Much
4026	Global North	Much
4027	Global North	Very much
4028	Global North	Little
4029	Global North	Medium
4030	Global North	Much
4031	Global North	Much
4032	Global North	Medium
4033	Global North	Much
4034	Global North	Much
4035	Global North	Much
4036	Global North	Medium
4037	Global North	Much
4038	Global North	Much
4039	Global North	Much
4040	Global North	Much
4041	Global North	Medium
4042	Global North	Medium
4043	Global North	Much
4044	Global North	Much
4045	Global North	Much
4046	Global North	Very much
4047	Global North	Little
4048	Global North	Medium
4049	Global North	Very much
4050	Global North	Much
4051	Global North	Very much
4052	Global North	Much
4053	Global North	Medium
4054	Global North	Much
4055	Global North	Much
4056	Global North	Much
4057	Global North	Medium
4058	Global North	Much
4059	Global North	Much
4060	Global North	Much
4061	Global North	Little
4062	Global North	Very little
4063	Global North	Little
4064	Global North	Very much
4065	Global North	Much
4066	Global North	Medium
4067	Global North	Much
4068	Global North	Very much
4069	Global North	Medium
4070	Global North	Medium
4071	Global North	Very much
4072	Global North	Much
4073	Global North	Medium
4074	Global North	Much
4075	Global North	Much
4076	Global North	Much
4077	Global North	Much
4078	Global North	Much
4079	Global North	Much
4080	Global North	Little
4081	Global North	Much
4082	Global North	Much
4083	Global North	Much
4084	Global North	Much
4085	Global North	Much
4086	Global North	Very much
4087	Global North	Much
4088	Global North	Very much
4089	Global North	Very much
4090	Global North	Much
4091	Global North	Very much
4092	Global North	Much
4093	Global North	Much
4094	Global North	Medium
4095	Global North	Much
4096	Global North	Medium
4097	Global North	Much
4098	Global North	Much
4099	Global North	Very much
4100	Global North	Much
4101	Global North	Much
4102	Global North	Much
4103	Global North	Little
4104	Global North	Much
4105	Global North	Much
4106	Global North	Much
4107	Global North	Medium
4108	Global North	Much
4109	Global North	Much
4110	Global North	Much
4111	Global North	Much
4112	Global North	Very much
4113	Global North	Very much
4114	Global North	Medium
4115	Global North	Medium
4116	Global North	Much
4117	Global North	Much
4118	Global North	Much
4119	Global North	Much
4120	Global North	Medium
4121	Global North	Medium
4122	Global North	Much
4123	Global North	Much
4124	Global North	Medium
4125	Global North	Much
4126	Global North	Much
4127	Global North	Medium
4128	Global North	Much
4129	Global North	Much
4130	Global North	Much
4131	Global North	Medium
4132	Global North	Much
4133	Global North	Much
4134	Global North	Medium
4135	Global North	Very much
4136	Global North	Much
4137	Global North	Very much
4138	Global North	Much
4139	Global North	Very much
4140	Global North	Much
4141	Global North	Medium
4142	Global North	Much
4143	Global North	Little
4144	Global North	Very much
4145	Global North	Medium
4146	Global North	Medium
4147	Global North	Much
4148	Global North	Medium
4149	Global North	Medium
4150	Global North	Very much
4151	Global North	Medium
4152	Global North	Medium
4153	Global North	Much
4154	Global North	Much
4155	Global North	Very much
4156	Global North	Much
4157	Global North	Much
4158	Global North	Medium
4159	Global North	Much
4160	Global North	Very much
4161	Global North	Much
4162	Global North	Very much
4163	Global North	Much
4164	Global North	Very much
4165	Global North	Much
4166	Global North	Much
4167	Global North	Little
4168	Global North	Much
4169	Global North	Much
4170	Global North	Medium
4171	Global North	Much
4172	Global North	Much
4173	Global North	Very much
4174	Global North	Medium
4175	Global North	Much
4176	Global North	Much
4177	Global North	Very much
4178	Global North	Much
4179	Global North	Much
4180	Global North	Much
4181	Global North	Medium
4182	Global North	Much
4183	Global North	Much
4184	Global North	Much
4185	Global North	Much
4186	Global North	Medium
4187	Global North	Medium
4188	Global North	Much
4189	Global North	Medium
4190	Global North	Much
4191	Global North	Much
4192	Global North	Much
4193	Global North	Medium
4194	Global North	Much
4195	Global North	Very much
4196	Global North	Much
4197	Global North	Very much
4198	Global North	Little
4199	Global North	Much
4200	Global North	Much
4201	Global North	Much
4202	Global North	Much
4203	Global North	Much
4204	Global North	Medium
4205	Global North	Medium
4206	Global North	Medium
4207	Global North	Much
4208	Global North	Much
4209	Global North	Medium
4210	Global North	Much
4211	Global North	Medium
4212	Global North	Medium
4213	Global North	Much
4214	Global North	Little
4215	Global North	Much
4216	Global North	Much
4217	Global North	Much
4218	Global North	Medium
4219	Global North	Very much
4220	Global North	Very much
4221	Global North	Much
4222	Global North	Much
4223	Global North	Very much
4224	Global North	Much
4225	Global North	Very little
4226	Global North	Very much
4227	Global North	Medium
4228	Global North	Medium
4229	Global North	Medium
4230	Global North	Medium
4231	Global North	Medium
4232	Global North	Much
4233	Global North	Medium
4234	Global North	Much
4235	Global North	Much
4236	Global North	Much
4237	Global North	Very much
4238	Global North	Very much
4239	Global North	Very little
4240	Global North	Much
4241	Global North	Little
4242	Global North	Little
4243	Global North	Much
4244	Global North	Much
4245	Global North	Much
4246	Global North	Much
4247	Global North	Much
4248	Global North	Much
4249	Global North	Little
4250	Global North	Much
4251	Global North	Little
4252	Global North	Much
4253	Global North	Very much
4254	Global North	Medium
4255	Global North	Medium
4256	Global North	Medium
4257	Global North	Little
4258	Global North	Much
4259	Global North	Little
4260	Global North	Little
4261	Global North	Very little
4262	Global North	Little
4263	Global North	Much
4264	Global North	Much
4265	Global North	Much
4266	Global North	Much
4267	Global North	Much
4268	Global North	Very much
4269	Global North	Little
4270	Global North	Very much
4271	Global North	Little
4272	Global North	Little
4273	Global North	Medium
4274	Global North	Much
4275	Global North	Much
4276	Global North	Medium
4277	Global North	Much
4278	Global North	Little
4279	Global North	Medium
4280	Global North	Very little
4281	Global North	Very much
4282	Global North	Medium
4283	Global North	Much
4284	Global North	Little
4285	Global North	Very much
4286	Global North	Much
4287	Global North	Very much
4288	Global North	Very much
4289	Global North	Much
4290	Global North	Very much
4291	Global North	Very much
4292	Global North	Little
4293	Global North	Much
4294	Global North	Little
4295	Global North	Medium
4296	Global North	Much
4297	Global North	Much
4298	Global North	Much
4299	Global North	Medium
4300	Global North	Little
4301	Global North	Much
4302	Global North	Much
4303	Global North	Little
4304	Global North	Very much
4305	Global North	Medium
4306	Global North	Medium
4307	Global North	Medium
4308	Global North	Very much
4309	Global North	Much
4310	Global North	Medium
4311	Global North	Very much
4312	Global North	Much
4313	Global North	Little
4314	Global North	Much
4315	Global North	Much
4316	Global North	Much
4317	Global North	Medium
4318	Global North	Much
4319	Global North	Medium
4320	Global North	Much
4321	Global North	Much
4322	Global North	Much
4323	Global North	Much
4324	Global North	Medium
4325	Global North	Much
4326	Global North	Much
4327	Global North	Very much
4328	Global North	Little
4329	Global North	Much
4330	Global North	Medium
4331	Global North	Little
4332	Global North	Medium
4333	Global North	Little
4334	Global North	Much
4335	Global North	Very little
4336	Global North	Much
4337	Global North	Much
4338	Global North	Much
4339	Global North	Much
4340	Global North	Much
4341	Global North	Much
4342	Global North	Much
4343	Global North	Very little
4344	Global North	Little
4345	Global North	Little
4346	Global North	Medium
4347	Global North	Medium
4348	Global North	Much
4349	Global North	Much
4350	Global North	Little
4351	Global North	Little
4352	Global North	Very much
4353	Global North	Medium
4354	Global North	Medium
4355	Global North	Much
4356	Global North	Much
4357	Global North	Medium
4358	Global North	Little
4359	Global North	Medium
4360	Global North	Much
4361	Global North	Little
4362	Global North	Much
4363	Global North	Much
4364	Global North	Medium
4365	Global North	Little
4366	Global North	Much
4367	Global North	Medium
4368	Global North	Very little
4369	Global North	Medium
4370	Global North	Much
4371	Global North	Much
4372	Global North	Very little
4373	Global North	Medium
4374	Global North	Medium
4375	Global North	Medium
4376	Global North	Much
4377	Global North	Medium
4378	Global North	Medium
4379	Global North	Much
4380	Global North	Much
4381	Global North	Very much
4382	Global North	Medium
4383	Global North	Much
4384	Global North	Medium
4385	Global North	Much
4386	Global North	Little
4387	Global North	Much
4388	Global North	Much
4389	Global North	Medium
4390	Global North	Much
4391	Global North	Much
4392	Global North	Very much
4393	Global North	Medium
4394	Global North	Little
4395	Global North	Medium
4396	Global North	Medium
4397	Global North	Medium
4398	Global North	Much
4399	Global North	Much
4400	Global North	Little
4401	Global North	Little
4402	Global North	Much
4403	Global North	Medium
4404	Global North	Much
4405	Global North	Very little
4406	Global North	Much
4407	Global North	Medium
4408	Global North	Much
4409	Global North	Medium
4410	Global North	Much
4411	Global North	Medium
4412	Global North	Much
4413	Global North	Much
4414	Global North	Much
4415	Global North	Medium
4416	Global North	Very much
4417	Global North	Medium
4418	Global North	Medium
4419	Global North	Medium
4420	Global North	Medium
4421	Global North	Medium
4422	Global North	Much
4423	Global North	Much
4424	Global North	Medium
4425	Global North	Medium
4426	Global North	Much
4427	Global North	Much
4428	Global North	Much
4429	Global North	Much
4430	Global North	Very little
4431	Global North	Much
4432	Global North	Little
4433	Global North	Much
4434	Global North	Much
4435	Global North	Medium
4436	Global North	Much
4437	Global North	Much
4438	Global North	Little
4439	Global North	Medium
4440	Global North	Much
4441	Global North	Much
4442	Global North	Medium
4443	Global North	Much
4444	Global North	Much
4445	Global North	Little
4446	Global North	Much
4447	Global North	Much
4448	Global North	Medium
4449	Global North	Much
4450	Global North	Very much
4451	Global North	Little
4452	Global North	Much
4453	Global North	Medium
4454	Global North	Medium
4455	Global North	Much
4456	Global North	Little
4457	Global North	Little
4458	Global North	Much
4459	Global North	Much
4460	Global North	Much
4461	Global North	Very little
4462	Global North	Much
4463	Global North	Much
4464	Global North	Much
4465	Global North	Much
4466	Global North	Very much
4467	Global North	Much
