Global.North.South	AI.Improve.Healthcare
682	Global North	Much
683	Global North	Medium
684	Global North	Medium
685	Global North	Much
686	Global North	Much
687	Global North	Medium
688	Global North	Much
689	Global North	Medium
690	Global North	Much
691	Global North	Much
692	Global North	Medium
693	Global North	Medium
694	Global North	Medium
696	Global North	Medium
697	Global North	Little
698	Global North	Medium
699	Global North	Very much
700	Global North	Medium
701	Global North	Little
702	Global North	Medium
703	Global North	Medium
704	Global North	Medium
705	Global North	Much
706	Global North	Little
707	Global North	Very little
708	Global North	Medium
709	Global North	Much
710	Global North	Very much
711	Global North	Medium
712	Global North	Medium
713	Global North	Medium
714	Global North	Medium
715	Global North	Little
716	Global North	Much
717	Global North	Much
718	Global North	Much
719	Global North	Little
720	Global North	Much
721	Global North	Much
722	Global North	Very much
723	Global North	Medium
724	Global North	Much
725	Global North	Much
726	Global North	Medium
727	Global North	Little
728	Global North	Medium
729	Global North	Medium
730	Global North	Much
731	Global North	Much
732	Global North	Medium
733	Global North	Medium
734	Global North	Much
736	Global North	Much
737	Global North	Medium
738	Global North	Much
739	Global North	Medium
740	Global North	Little
741	Global North	Medium
742	Global North	Little
743	Global North	Much
744	Global North	Much
745	Global North	Much
746	Global North	Little
747	Global North	Very much
748	Global North	Medium
749	Global North	Very much
750	Global North	Very much
751	Global North	Medium
752	Global North	Much
753	Global North	Little
754	Global North	Much
755	Global North	Medium
756	Global North	Little
758	Global North	Medium
759	Global North	Medium
760	Global North	Very much
762	Global North	Much
763	Global North	Medium
764	Global North	Medium
765	Global North	Medium
766	Global North	Medium
767	Global North	Much
768	Global North	Much
769	Global North	Much
770	Global North	Medium
771	Global North	Medium
772	Global North	Much
774	Global North	Medium
775	Global North	Medium
776	Global North	Medium
777	Global North	Medium
778	Global North	Medium
779	Global North	Medium
780	Global North	Medium
781	Global North	Medium
782	Global North	Much
783	Global North	Medium
784	Global North	Medium
785	Global North	Medium
786	Global North	Much
787	Global North	Medium
788	Global North	Medium
789	Global North	Much
790	Global North	Little
791	Global North	Medium
792	Global North	Little
793	Global North	Much
794	Global North	Much
796	Global North	Very much
797	Global North	Much
798	Global North	Much
799	Global North	Medium
800	Global North	Much
801	Global North	Little
802	Global North	Much
803	Global North	Medium
804	Global North	Very little
805	Global North	Little
806	Global North	Much
807	Global North	Medium
808	Global North	Much
809	Global North	Very little
810	Global North	Medium
811	Global North	Very much
812	Global North	Very little
813	Global North	Medium
814	Global North	Much
816	Global North	Medium
817	Global North	Much
818	Global North	Much
819	Global North	Medium
820	Global North	Much
821	Global North	Much
822	Global North	Much
823	Global North	Medium
824	Global North	Very little
825	Global North	Medium
827	Global North	Little
828	Global North	Medium
829	Global North	Medium
830	Global North	Medium
831	Global North	Very much
832	Global North	Medium
833	Global North	Medium
834	Global North	Medium
835	Global North	Much
